項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude,行政區
1,2,9,63000050,忠孝東路1段12號,喜來登大飯店,25.01973673645995,121.3849317538406,中正區
2,2,5,63000050,中山南路7號,臺大醫院,25.040570277812094,121.51811937537666,中正區
3,2,5,63000050,中山南路8號,臺大醫院兒童醫療大樓,25.044327077809783,121.51600807537694,中正區
4,2,5,63000050,北平東路28號2樓,創世清寒植物人安養院,25.045830877808697,121.52281787537677,中正區
5,2,4,63000050,忠孝東路1段85號,凱撒世貿大樓,25.044202377809704,121.52419497537676,中正區
6,2,4,63000050,忠孝東路1段83號,凱撒花園大樓,25.04423457780981,121.52399247537676,中正區
7,2,4,63000050,杭州南路1段15號,醒吾大樓,25.04264077781075,121.52411767537669,中正區
8,2,4,63000050,忠孝東路2段88號,海華金融大廈,25.042963477810627,121.52685797537683,中正區
9,2,4,63000050,仁愛路2段61、63號,鴻禧大樓,25.038660277813367,121.52779097537665,中正區
10,2,1,63000050,齊東街53巷2號至10號,木造建築物,25.04149867781155,121.52597227537673,中正區
11,2,9,63000050,新生南路1段6號,來來忠孝大樓,25.04391797780995,121.53004407537692,中正區
12,2,9,63000050,中山南路21號,國立中正文化中心,25.034652177815897,121.51925157537637,中正區
13,2,9,63000050,信義路2段81號,東門市場,25.034583177816113,121.52401937537655,中正區
14,2,9,63000050,臨沂街44巷1號木造建築物,木造建築物,25.03724987781431,121.52634817537664,中正區
15,2,9,63000050,臨沂街63巷18號對面,木造建築物,25.03448642781601,121.52601092537638,中正區
16,2,9,63000050,臨沂街65巷11號,木造建築物,25.03577557781526,121.52717727537645,中正區
17,2,7,63000050,忠孝東路1段12號,喜來登大飯店附設立體停車塔,25.01973673645995,121.3849317538406,中正區
18,2,7,63000050,忠孝東路2段80號,天裔大廈停車塔,25.043103477810515,121.5264507753769,中正區
19,2,4,63000050,忠孝東路2段123號,兆豐金融大樓,25.042883977810718,121.52992627537678,中正區
20,2,4,63000050,濟南路1段2之2號,中央聯合大樓北棟,25.042681377810815,121.51753667537687,中正區
21,2,4,63000050,徐州路5號,中央聯合大樓南棟,25.042112877811164,121.51696837537676,中正區
22,2,9,63000050,仁愛路1段1號,臺大基礎醫學大樓,25.039539777812756,121.51709267537669,中正區
23,2,9,63000050,杭州南路1段28-1號,中華電信數據通信大樓,25.03607307781503,121.52151407537647,中正區
24,1,4,63000050,中華路1段39號,臺糖騰雲大樓,25.01973673645995,121.3849317538406,松山區
25,2,1,63000050,武昌街1段16及22巷一帶,城中市場,25.01973673645995,121.3849317538406,松山區
26,1,4,63000050,忠孝西路1段38號,凱撒飯店,25.045456394940057,121.50954545386185,中正區
27,2,4,63000050,忠孝西路1段66號,新光人壽摩天大樓 ,25.046657477808164,121.51275167537688,中正區
28,2,4,63000050,忠孝西路1段50號,亞洲廣場,25.045771577808726,121.5132458753768,中山區
29,1,6,63000050,公園路52號,臺北大眾捷運股份有限公司淡水信義線臺大醫院站,25.047060279676124,121.41818538057944,新莊區
30,2,6,63000050,忠孝西路1段50-1號B1,臺北市站前地下街,25.046339327808393,121.51293967537683,中正區
31,2,6,63000050,寶慶路32-1號,臺北大眾捷運股份有限公司板南線西門站,25.041477577811598,121.50639597537678,中正區
32,2,5,63000050,新生南路1段124-3號1-4樓,大園老人養護所,25.03753317781417,121.52985397537661,中正區
33,2,5,63000050,新生南路1段124-3號5樓,仁泰老人養護所,25.03753317781417,121.52985397537661,中正區
34,2,9,63000050,晉江街一帶,磚木造平房,25.027702511281376,121.51868824281217,中正區
35,2,9,63000050,永春街一帶,磚木造平房,25.019668601165,121.30252200441312,信義區
36,2,9,63000050,詔安街一帶,磚木造平房,25.025361077822,121.50966887537614,中正區
37,2,4,63000050,仁愛路1段50號,交通部交通通訊傳播大樓,25.037679377813976,121.52204077537654,中正區
38,2,9,63000050,忠孝西路1段7號,中央住商辦公大樓,25.04638207780828,121.516740175377,中正區
39,1,9,63000050,重慶南路1段99號,世界大樓,25.043088477810493,121.51076387537675,中正區
40,1,9,63000050,許昌街17號,壽德大樓,25.04583647780875,121.51425567537693,中正區
41,2,9,63000050,林森南路(仁愛路1段至羅斯福路1段),林森南路車行地下道,25.03848497781345,121.5188665753766,中正區
42,1,9,63000050,惠安街17號地下一樓,集合住宅,25.029624977819296,121.5041566753765,中正區
43,2,9,63000050,羅斯福路四段136巷3號,東南亞秀泰影城,25.01278307783003,121.53268587537585,中正區
44,2,9,63000050,中華路二段315巷5弄,南機場夜市,25.02865052781986,121.5034769253764,中正區
45,2,5,63000080,羅斯福路6段280號,景美醫院,24.99119492784424,121.5372819253751,文山區
46,1,5,63000080,溪口街1巷5號3、4樓,美安老人長期照顧中心,24.994048977842247,121.53729207537518,文山區
47,2,5,63000080,辛亥路5段120-1號1-4樓,心慈老人養護所,24.997483977839952,121.54956387537521,文山區
48,2,9,63000080,辛亥路5段至6段,懷恩隧道,25.00401398146254,121.52588083048958,大安區
49,2,9,63000080,萬芳交流道至信義路5段150巷,文山隧道,25.013485181069214,121.54874838050935,信義區
50,2,4,63000080,木柵路3段177號B5至24樓,遠雄日光,24.989845232051227,121.54630553046005,文山區
51,1,5,63000080,車前路12號3至4樓,三園老人長期照顧中心,24.991508777843848,121.53836027537513,文山區
52,2,5,63000080,木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,臺北市私立吉祥老人長期照顧中心(養護型),24.98820484553424,121.55778980383212,文山區
53,2,9,63000080,興隆路3段185及207巷,來來社區,24.996621231769655,121.53467473047421,文山區
54,2,5,63000080,木柵路2段163、165號2-4樓,慧誠老人養護所,25.019668601165,121.30252200441312,文山區
55,1,9,63000080,景興路,仙跡岩集合住宅,24.993236477842853,121.54184187537521,文山區
56,2,9,63000080,景興路153巷,景興路集合住宅,24.99380017784244,121.54270117537511,文山區
57,2,9,63000080,羅斯福路6段403號B1,總動員KTV(好樂迪),24.99187797784374,121.53815037537515,文山區
58,1,5,63000080,溪口街1巷5號,景安老人養護所,24.994048977842247,121.53729207537518,文山區
59,2,5,63000080,興隆路2段95巷8號3至5樓,臺北市私立文山老人養護所,25.00005807783838,121.54431817537542,文山區
60,2,9,63000080,秀明路2段115巷1至13號,翡翠城堡社區大廈,24.99130687784411,121.57442307537502,文山區
61,2,5,63000080,萬和街6號8號5樓,創世基金會植物人安養中心文山分會,25.001901277837263,121.56471847537547,文山區
62,2,5,63000080,興隆路4段109巷30號4樓,臺北市政府社會局老人自費安養中心,24.986303877847245,121.55990987537497,文山區
63,2,5,63000080,政大二街129號,兆如老人養護中心,24.98923137784536,121.58141277537501,文山區
64,2,2,63000080,試院路144巷及154巷一帶,集合住宅,24.991493431982736,121.52912053046347,文山區
65,2,4,63000080,辛亥路6段21巷2至40號,發現之旅社區大廈,24.991325877844027,121.55005147537516,文山區
66,2,5,63000080,景興路222號3樓,景興老人長期照顧中心,24.99115807784419,121.54082717537511,文山區
67,2,9,63000080,羅斯福路5段172-1號B1,易儲居企業有限公司,25.004286577835668,121.53572267537562,文山區
68,2,9,63000080,羅斯福路4段200號2樓,獅子王企業股份有限公司,25.01079167783139,121.53433437537572,文山區
69,2,9,63000070,成都路81號3樓,聚歡暢文化有限公司,25.043125077810533,121.50270857537684,萬華區
70,2,9,63000070,漢口街2段54號,六福大樓,25.04576877780877,121.50347817537684,萬華區
71,2,5,63000070,廣州街243號,仁濟醫院,25.036918477814435,121.49544507537658,萬華區
72,1,6,63000070,和平西路3段與西園路1段間,捷運龍山寺站暨地下商場,25.03697151125754,121.49510994281347,萬華區
73,2,5,63000070,峨眉街124-1號,中山老人安養中心,25.044575877809557,121.49945767537693,萬華區
74,1,9,63000070,西昌街（桂林街以南、廣州街以北）,西昌夜市,25.036793361257974,121.4944159928131,萬華區
75,1,9,63000070,廣州街（西園路1段以西、環河南路以東）,艋舺夜市及廣州夜市,25.034382861264433,121.49465194281291,萬華區
76,1,5,63000070,柳州街41號4樓,育仁啟能中心,25.03845637781347,121.50284627537668,萬華區
77,1,9,63000070,西寧南路4號,西寧行政大樓及西寧市場,25.047726977807482,121.504601275377,萬華區
78,1,8,63000070,西寧南路70號,萬年商業大樓,25.04519497780913,121.50393607537694,萬華區
79,1,8,63000070,漢中街52號,萬國百貨,25.04389727780998,121.50453777537679,萬華區
80,1,8,63000070,峨嵋街52號,誠品百貨-西門店,25.043653377810106,121.5027531753768,萬華區
81,1,8,63000070,漢中街116號,H&M成衣公司,25.04296277781056,121.50473102537686,萬華區
82,2,9,63000070,西園路2段52巷14弄以西與16弄以東所圍街廓及西園路2段52巷17號以東、西園路2段52巷14弄2號以西、西園路2段50巷4弄以南、西園路2段52巷以北所圍街廓,傳統市場,25.03003227138847,121.43408220179738,萬華區
83,2,9,63000070,青年路106號,南機場三號基地國宅,25.0228970778236,121.49997587537612,萬華區
84,1,9,63000070,萬華區成都路110號,成都大樓,25.04361887781016,121.49922967537677,萬華區
85,1,8,63000070,武昌街2段77號,誠品百貨-武昌店,25.045164877809196,121.50315167537676,萬華區
86,1,4,63000070,西寧南路127號,阿曼TIT,25.044382177809627,121.50397247537683,萬華區
87,1,9,63000070,西昌街188、190號B1樓,地下層蝸居,25.037746277813913,121.49791417537662,萬華區
88,2,9,63000070,中華路二段336號,忠恕社區連棟式集合住宅,25.029530777819247,121.50172917537644,萬華區
89,2,9,63000070,萬華區漢中街42號6樓,金元寶餐廳(歌廳),25.044234277809693,121.50469597537675,萬華區
90,2,9,63000070,萬華區漢口街2段54號3樓,相思園餐坊(卡拉ok),25.045693177808865,121.50313157537686,萬華區
91,2,9,63000070,萬華區漢中街42號7樓,星光百分百餐廳(歌廳 ),25.044227577809714,121.50470347537672,萬華區
92,2,9,63000070,萬華區峨眉街5號2樓,新櫻花音樂茶坊,25.043434577810228,121.50546137537687,萬華區
93,2,9,63000070,萬華區漢口街2段54號2樓之13,皇鳳餐廳(歌廳),25.04576877780877,121.50347817537684,萬華區
94,2,9,63000070,萬華區漢口街2段54號3F樓,舞帝有限公司,25.04576877780877,121.50347817537684,萬華區
95,2,9,63000070,萬華區武昌街2段89號5樓,映捌玖數位影城有限公司,25.04547717780899,121.50133747537681,萬華區
96,2,9,63000070,萬華區中華路1段144號9樓,新世界音樂城(歌廳),25.04316097781042,121.50550057537673,萬華區
97,2,9,63000070,萬華區西寧南路70號9樓,萬歲企業有限公司(MTV),25.043507977810172,121.50331107537674,萬華區
98,2,9,63000070,萬華區漢口街2段54號2樓,亞洲舞廳,25.045673277808785,121.5032175753769,萬華區
99,2,9,63000070,西昌街201之2號B1-5樓,住宅(蝸居),25.037709577814024,121.49802082537664,萬華區
