項次編號,評分等級,認定項目,行政區編號,地址,場所名稱
1,2,9,63000050,忠孝東路1段12號,喜來登大飯店
2,2,5,63000050,中山南路7號,臺大醫院
3,2,5,63000050,中山南路8號,臺大醫院兒童醫療大樓
4,2,5,63000050,北平東路28號2樓,創世清寒植物人安養院
5,2,4,63000050,忠孝東路1段85號,凱撒世貿大樓
6,2,4,63000050,忠孝東路1段83號,凱撒花園大樓
7,2,4,63000050,杭州南路1段15號,醒吾大樓
8,2,4,63000050,忠孝東路2段88號,海華金融大廈
9,2,4,63000050,仁愛路2段61、63號,鴻禧大樓
10,2,1,63000050,齊東街53巷2號至10號,木造建築物
11,2,9,63000050,新生南路1段6號,來來忠孝大樓
12,2,9,63000050,中山南路21號,國立中正文化中心
13,2,9,63000050,信義路2段81號,東門市場
14,2,9,63000050,臨沂街44巷1號木造建築物,木造建築物
15,2,9,63000050,臨沂街63巷18號對面,木造建築物
16,2,9,63000050,臨沂街65巷11號,木造建築物
17,2,7,63000050,忠孝東路1段12號,喜來登大飯店附設立體停車塔
18,2,7,63000050,忠孝東路2段80號,天裔大廈停車塔
19,2,4,63000050,忠孝東路2段123號,兆豐金融大樓
20,2,4,63000050,濟南路1段2之2號,中央聯合大樓北棟
21,2,4,63000050,徐州路5號,中央聯合大樓南棟
22,2,9,63000050,仁愛路1段1號,臺大基礎醫學大樓
23,2,9,63000050,杭州南路1段28-1號,中華電信數據通信大樓
24,1,4,63000050,中華路1段39號,臺糖騰雲大樓
25,2,1,63000050,武昌街1段16及22巷一帶,城中市場
26,1,4,63000050,忠孝西路1段38號,凱撒飯店
27,2,4,63000050,忠孝西路1段66號,新光人壽摩天大樓 
28,2,4,63000050,忠孝西路1段50號,亞洲廣場
29,1,6,63000050,公園路52號,臺北大眾捷運股份有限公司淡水信義線臺大醫院站
30,2,6,63000050,忠孝西路1段50-1號B1,臺北市站前地下街
31,2,6,63000050,寶慶路32-1號,臺北大眾捷運股份有限公司板南線西門站
32,2,5,63000050,新生南路1段124-3號1-4樓,大園老人養護所
33,2,5,63000050,新生南路1段124-3號5樓,仁泰老人養護所
34,2,9,63000050,晉江街一帶,磚木造平房
35,2,9,63000050,永春街一帶,磚木造平房
36,2,9,63000050,詔安街一帶,磚木造平房
37,2,4,63000050,仁愛路1段50號,交通部交通通訊傳播大樓
38,2,9,63000050,忠孝西路1段7號,中央住商辦公大樓
39,1,9,63000050,重慶南路1段99號,世界大樓
40,1,9,63000050,許昌街17號,壽德大樓
