項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,Latitude,Longitude
1,2,9,中正區,忠孝東路1段12號,喜來登大飯店,25.04458018,121.51986518
2,2,5,中正區,中山南路7號,臺大醫院,25.04057028,121.51811938
3,2,5,中正區,中山南路8號,臺大醫院兒童醫療大樓,25.04432708,121.51600808
4,2,5,中正區,北平東路28號2樓,創世清寒植物人安養院,25.04583088,121.52281788
5,2,4,中正區,忠孝東路1段85號,凱撒世貿大樓,25.04413823,121.52295888
6,2,4,中正區,忠孝東路1段83號,凱撒花園大樓,25.04423458,121.52399248
7,2,4,中正區,杭州南路1段15號,醒吾大樓,25.04264078,121.52411768
8,2,4,中正區,忠孝東路2段88號,海華金融大廈,25.04231351,121.52757904
9,2,4,中正區,仁愛路2段61、63號,鴻禧大樓,25.03866028,121.52779098
10,2,1,中正區,齊東街53巷2號至10號,木造建築物,25.04149868,121.52597228
11,2,9,中正區,新生南路1段6號,來來忠孝大樓,25.04391798,121.53004408
12,2,9,中正區,中山南路21號,國立中正文化中心,25.03431593,121.51819373
13,2,9,中正區,信義路2段81號,東門市場,25.03448858,121.52385958
14,2,9,中正區,臨沂街44巷1號木造建築物,木造建築物,25.03724988,121.52634818
15,2,9,中正區,臨沂街63巷18號對面,木造建築物,25.03845396,121.52418214
16,2,9,中正區,臨沂街65巷11號,木造建築物,25.03577558,121.52717728
17,2,7,中正區,忠孝東路1段12號,喜來登大飯店附設立體停車塔,25.04458018,121.51986518
18,2,7,中正區,忠孝東路2段80號,天裔大廈停車塔,25.04239486,121.52722624
19,2,4,中正區,忠孝東路2段123號,兆豐金融大樓,25.04288398,121.52992628
20,2,4,中正區,濟南路1段2之2號,中央聯合大樓北棟,25.04268138,121.51753668
21,2,4,中正區,徐州路5號,中央聯合大樓南棟,25.04211288,121.51696838
22,2,9,中正區,仁愛路1段1號,臺大基礎醫學大樓,25.03953978,121.51709268
23,2,9,中正區,杭州南路1段28-1號,中華電信數據通信大樓,25.03607308,121.52151408
24,1,4,中正區,中華路1段39號,臺糖騰雲大樓,25.04534618,121.50708668
25,2,1,中正區,武昌街1段16及22巷一帶,城中市場,25.01973674,121.38493175
26,1,4,中正區,忠孝西路1段38號,凱撒飯店,25.04453438,121.50876413
27,2,4,中正區,忠孝西路1段66號,新光人壽摩天大樓 ,25.04665748,121.51275168
28,2,4,中正區,忠孝西路1段50號,亞洲廣場,25.04577158,121.51324588
29,1,6,中正區,公園路52號,臺北大眾捷運股份有限公司淡水信義線臺大醫院站,25.04100298,121.51314008
30,2,6,中正區,忠孝西路1段50-1號B1,臺北市站前地下街,25.04633933,121.51293968
31,2,6,中正區,寶慶路32-1號,臺北大眾捷運股份有限公司板南線西門站,25.04147758,121.50639598
