編號,行政區,轄區分隊,巷道地點,寬度,長度
1,板橋區,板橋分隊,館前西路213巷,2.1,150
2,板橋區,板橋分隊,華興街21巷,4.7,150
3,板橋區,板橋分隊,南雅西路一段92巷,2.1,100
4,板橋區,板橋分隊,重慶路67巷,3,100
5,板橋區,板橋分隊,和平路161巷,3.6,100
6,板橋區,板橋分隊,仁愛路49巷,3,150
7,板橋區,板橋分隊,四川路一段37巷,1.5,100
8,板橋區,板橋分隊,四川路一段87巷,,
9,板橋區,板橋分隊,四川路二段65巷,2,30
10,板橋區,板橋分隊,四川路二段81巷,2.2,80
11,板橋區,板橋分隊,四川路二段91巷,1.8,100
12,板橋區,板橋分隊,忠孝路174巷,4,200
13,板橋區,板橋分隊,稚暉街46巷,1.6,100
14,板橋區,板橋分隊,稚暉街48巷,2.8,150
15,板橋區,板橋分隊,縣民大道一段106巷,2.9,100
16,板橋區,板橋分隊,縣民大道一段94巷,2,100
17,板橋區,板橋分隊,重慶路139巷,3.8,100
18,板橋區,板橋分隊,重慶路155巷,3.3,100
19,板橋區,板橋分隊,忠孝路176巷,3.8,100
20,板橋區,板橋分隊,忠孝路201巷,3.8,130
21,板橋區,板橋分隊,四川路一段232巷,3,100
22,板橋區,板橋分隊,成都街71巷,3,100
23,板橋區,板橋分隊,仁愛路47巷,2,100
24,板橋區,民生分隊,漢生東路53巷,3-4,100
25,板橋區,民生分隊,漢生東路63巷,3.5-4.8,100
26,板橋區,民生分隊,漢生東路113巷,4-5,200
27,板橋區,民生分隊,新生街20巷,3,30
28,板橋區,民生分隊,陽明街164巷,1.5-3,100
29,板橋區,民生分隊,幸福路70巷,3.5,130
30,板橋區,民生分隊,民有街15巷,3,40
31,板橋區,民生分隊,四維路112巷,3,120
32,板橋區,民生分隊,四維路269巷,3.2,400
33,板橋區,民生分隊,四維路279巷,3.2,240
34,板橋區,民生分隊,四維路289巷,3,80
35,板橋區,民生分隊,文化路一段285巷,4,350
36,板橋區,民生分隊,文化路一段435巷,2.2,130
37,板橋區,民生分隊,中正路236巷,3,500
38,板橋區,民生分隊,長江路一段48巷,3,130
39,板橋區,民生分隊,長江路一段66巷,2.5,100
40,板橋區,民生分隊,漢生東路23巷,3,220
41,板橋區,民生分隊,漢生東路33巷,3,150
42,板橋區,民生分隊,漢生東路43巷,3,150
43,板橋區,民生分隊,漢生東路73巷,3,150
44,板橋區,民生分隊,漢生東路83巷,3,150
45,板橋區,大觀分隊,大觀路一段29巷4弄,1.5,50
46,板橋區,大觀分隊,大觀路一段33巷,1.8,160
47,板橋區,大觀分隊,大觀路一段35巷,1.8,130
48,板橋區,大觀分隊,大觀路一段37巷,1.8,140
49,板橋區,大觀分隊,大觀路一段39巷,2,110
50,板橋區,大觀分隊,大觀路二段27巷,2.5,180
51,板橋區,大觀分隊,大觀路二段79巷,2,100
52,板橋區,大觀分隊,大觀路二段166巷,3.8,110
53,板橋區,大觀分隊,正義街,3.5,100
54,板橋區,大觀分隊,大觀路一段28巷6弄,2,140
55,板橋區,大觀分隊,大觀路二段3巷,3,350
56,板橋區,大觀分隊,大觀路二段7巷,3,350
57,板橋區,大觀分隊,大觀路二段19巷,3.5,550
58,板橋區,大觀分隊,大觀路二段20巷,2.5,200
59,板橋區,大觀分隊,大觀路二段140巷,2,260
