項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude
1,2,9,63000050,忠孝東路1段12號,喜來登大飯店,25.044949997703,121.522079967671
2,2,5,63000050,中山南路7號,臺大醫院,38.30156831,140.82517962
3,2,5,63000050,中山南路8號,臺大醫院兒童醫療大樓,38.30156831,140.82517962
4,2,5,63000050,北平東路28號2樓,創世清寒植物人安養院,25.045801012332,121.525361985679
5,2,4,63000050,忠孝東路1段85號,凱撒世貿大樓,25.044200320283,121.526726475696
6,2,4,63000050,忠孝東路1段83號,凱撒花園大樓,25.044323995264,121.526352978091
7,2,4,63000050,杭州南路1段15號,醒吾大樓,25.043140009531,121.526784981381
8,2,4,63000050,忠孝東路2段88號,海華金融大廈,25.042996008435,121.529399967533
9,2,4,63000050,仁愛路2段61、63號,鴻禧大樓,,
10,2,1,63000050,齊東街53巷2號至10號,木造建築物,,
11,2,9,63000050,新生南路1段6號,來來忠孝大樓,25.044023001121,121.532621971114
12,2,9,63000050,中山南路21號,國立中正文化中心,38.30156831,140.82517962
13,2,9,63000050,信義路2段81號,東門市場,25.034654003118,121.526787998866
14,2,9,63000050,臨沂街44巷1號木造建築物,木造建築物,35.1032403,118.3506988
15,2,9,63000050,臨沂街63巷18號對面,木造建築物,,
16,2,9,63000050,臨沂街65巷11號,木造建築物,,
17,2,7,63000050,忠孝東路1段12號,喜來登大飯店附設立體停車塔,25.044949997703,121.522079967671
18,2,7,63000050,忠孝東路2段80號,天裔大廈停車塔,25.043054011205,121.529004006427
19,2,4,63000050,忠孝東路2段123號,兆豐金融大樓,25.042815001236,121.532457015259
20,2,4,63000050,濟南路1段2之2號,中央聯合大樓北棟,25.043175884336,121.519160744682
21,2,4,63000050,徐州路5號,中央聯合大樓南棟,25.042036992983,121.519499012045
22,2,9,63000050,仁愛路1段1號,臺大基礎醫學大樓,23.325069003424,121.313668974356
23,2,9,63000050,杭州南路1段28-1號,中華電信數據通信大樓,25.036039992718,121.524364036286
24,1,4,63000050,中華路1段39號,臺糖騰雲大樓,24.81807300114,120.995238461064
25,2,1,63000050,武昌街1段16及22巷一帶,城中市場,,
26,1,4,63000050,忠孝西路1段38號,凱撒飯店,25.046207618455,121.516424362323
27,2,4,63000050,忠孝西路1段66號,新光人壽摩天大樓 ,25.046225807185,121.515302025487
28,2,4,63000050,忠孝西路1段50號,亞洲廣場,25.04622798648,121.515826984083
29,1,6,63000050,公園路52號,臺北大眾捷運股份有限公司淡水信義線臺大醫院站,43.77707725,143.61268116
30,2,6,63000050,忠孝西路1段50-1號B1,臺北市站前地下街,25.046258999522,121.515826984083
31,2,6,63000050,寶慶路32-1號,臺北大眾捷運股份有限公司板南線西門站,22.3197515,114.1606459
32,2,5,63000050,新生南路1段124-3號1-4樓,大園老人養護所,25.037519985362,121.532462966411
33,2,5,63000050,新生南路1段124-3號5樓,仁泰老人養護所,25.037519985362,121.532462966411
