名稱,認證別,地區,性質,認證單位,電話,地址
泰姬印度餐廳,MR,臺北市,印度料理,中國回教協會,+886-2-2363-6005,臺北市大安區新生南路三段106號2樓之1
阿布都中東料理,MR,臺北市,中東料理,中國回教協會,+886-2-2834-3303,臺北市士林區德行西路114號
亞瑟蘭印度餐廳,MR,臺北市,印度料理,中國回教協會,+886-2-2579-0528,臺北市松山區北寧路36號
清真泰富豪,MR,臺北市,泰式料理,中國回教協會,+886-2-2358-7001,臺北市中正區連雲街74-1號
酷思多披薩,MR,臺北市,義大利料理,中國回教協會,+886-2-2331-2791,臺北市中正區延平南路21號
張家清真黃牛肉麵館,MR,臺北市,中式料理,中國回教協會,+886-2-8786-9366,臺北市信義區基隆路一段366號
饗印印度巴基斯坦料理餐廳,MR,臺北市,印度料理,中國回教協會,+886-2-2331-8203,臺北市中正區延平南路23號
清真黃牛肉麵館,MR,臺北市,中式料理,中國回教協會,+886-2-2751-6776,臺北市松山區復興北路81巷26號
清真昆明園餐廳,MR,臺北市,異國料理,中國回教協會,+886-2-2567-7163,臺北市中山區南京東路二段56號2樓
阿里巴巴的廚房,MR,臺北市,印度料理,中國回教協會,+886-2-2767-1661,台北市松山區八德路四段618號2樓
壹千零壹夜,MR,臺北市,波斯料理,中國回教協會,+886-2-2657-2213,臺北市內湖區文湖街60巷2號
亞瑟蘭印度料理-內湖店,MR,臺北市,中國回教協會,中國回教協會,+886-2-2389-6093,臺北市中正區延平南路252號
暮娜餐館,MR,臺北市,印度料理,中國回教協會,+886-2-6632-8999,臺北市中正區北平西路3號2樓
原味德里-北車店,MR,臺北市,印度料理,中國回教協會,+886-2-23955158,臺北市大安區永康街75巷14-2號
真的好海鮮餐廳,MFR,臺北市,海鮮餐-套團餐,中國回教協會,+886-2-7746-2978,臺北市南港區經貿二路1號
炸鷄大獅北市南港一館,MFR,臺北市,速食,中國回教協會,+886-2-2653-5547,臺北市南港區經貿二路2號B1
炸鷄大獅-南港二館,MFR,臺北市,速食,中國回教協會,+886-2-2651-8957,臺北市南港區忠孝東路七段317號B1
炸鷄大獅北市南港環球店,MFR,臺北市,速食,中國回教協會,+886-2-2794-9169,臺北市內湖區民善街88號
炸鷄大獅-內湖家樂福,MFR,臺北市,速食,中國回教協會,+886-2-2381-3607,臺北市萬華區桂林路1號
炸鷄大獅西門桂林店,MFR,臺北市,速食,中國回教協會,+886-2-2721-4771,臺北市大安區延吉街137巷7弄1號
清真中國牛肉麵食館,MFR,臺北市,中式料理,（大園清真寺）環亞貝爾國際標準驗證有限公司,+886-2-2514-9880,臺北市松山區敦化北路155巷17號
友善清真水料理食品有限公司,MFR,臺北市,中式料理,(大園清真寺)環亞貝爾國際標準驗證有限公司,+886-2-2722-2646,臺北市信義區松高路12號新光三越B2
清真中國牛肉麵食館,MFR,臺北市,中式料理,（大園清真寺）環亞貝爾國際標準驗證有限公司,,台北市中山區民權東路二段92巷7弄2號第三間 (捷運行天宮4號出口)
Furger 芙格漢堡,MFR,臺北市,素食料理,巴勒克清真產業有限公司,+886-2-2765-7369,台北市信義區永吉路30巷119號
炸機大獅-信義永吉店,MFR,臺北市,速食,中國回教協會,+886-905-169176,臺北市士林區平等里平菁街 43 巷 99 號
梅居休閒農場,MFR,臺北市,午晚餐,伊斯蘭商務發展有限公司,+886-2-2368-2551,台北市中正區羅斯福路四段24巷14號
炸鷄大獅-公館二店,MFR,臺北市,速食,中國回教協會,+886-2-2545-9288,"臺北市松山區敦化北路100號1,2樓"
茹曦酒店- 茹曦宴會廳 / Sunny 自助餐,MFRMFT,臺北市,早午晚餐/住宿,中國回教協會,+886-2-2521-5000,臺北市中山區中山北路二段39巷3號
大地酒店-喜歡廳,MFRMFT,臺北市,早午晚餐/住宿,中國回教協會,+886-2-2886-8888,臺北市中山區中山北路四段1號
臺北圓山大飯店 - 松山軒/松高軒,MFRMFT,臺北市,早午晚餐/住宿,中國回教協會,+886-2-2181-9999,臺北市大同區承德路一段3號
台北君品大酒店－頤宮中餐廳,MFRMFT,臺北市,早午晚餐/住宿,中國回教協會,+886-2-2896-6966#8878,臺北市北投區中和街2號
北投老爺酒店,MFRMFA,臺北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,+886-2-7722-3399,臺北市中山區樂群二路55號
台北美福大飯店,MFRMFA,臺北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,+886-2-2653-2828,臺北市南港區市民大道七段8號
台北松山意舍酒店,MFRMFA,臺北市,住宿/早晚餐,伊斯蘭商務發展有限公司,+886- 2-2375-5111,臺北市萬華區武昌街二段77號5樓
台北西門町意舍酒店,MFRMFA,臺北市,住宿/早晚餐,伊斯蘭商務發展有限公司,+886-2-2338-1211,臺北市萬華區廣州街247號
禾順行旅,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2542-3266,臺北市中山區中山北路二段37-1號
臺北老爺大酒店 - 咖啡廳,MFT,臺北市,早餐/住宿,中國回教協會,'+886-2-8502-0899,臺北市中山區樂群二路199號
台北萬豪酒店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2897-5555,臺北市北投區幽雅路18號
春天酒店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2585-3258,臺北市中山區林森北路646號
歐華酒店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2370-9000,臺北市中正區中華路一段41號5樓
捷絲旅台北西門町館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2821-3191,臺北市北投區承德路七段380號
溫拿旅館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2311-5151,臺北市中正區忠孝西路一段38號
台北福華大飯店 - 花梨軒,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-8502-0899,臺北市中山區樂群二路199號
台北萬豪酒店-花園餐廳,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2370-9000,臺北市中正區中華路一段41號5樓
捷絲旅台北西門町館-捷食驛,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2585-3258,臺北市中山區林森北路646號
歐華酒店-地中海牛排館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2518-0188,臺北市中山區長春路258巷6號2樓
背包棧旅店台北長春店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-2361-5868,臺北市萬華區康定路32號
綺樂文旅-康定館,MFT,臺北市,,中國回教協會,+886-2-77266699,臺北市大安區敦化南路一段331號
慕軒飯店-義大利餐廳,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-23615889,台北市中正區開封街一段35號1樓
綺樂文旅-開封館,MFT,臺北市,,中國回教協會,+886-2-23115556,台北市萬華區中華路一段166之2號
福泰桔子商務旅館-西門店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-27425888,台北市松山區南京東路五段411號
城市商旅-南東館,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-28732222,台北市士林區中山北路六段728巷2號
丹迪旅店-天母店,MFT,臺北市,早餐/住宿,中國回教協會,+886-2-7076899,台北市大安區信義路三段33號
