醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,行政區名稱,行政區編碼
0401190010,國立臺灣大學醫學院附設醫院北護分院,綜合醫院,(02)23717101,臺北市萬華區康定路３７號、臺北市萬華區內江街８７號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,腹膜透析業務","家醫科,內科,兒科,婦產科,耳鼻喉科,眼科,神經科,精神科,復健科,牙科,麻醉科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,19950301,萬華區,5
0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,慢性醫院,(02)28587000,臺北市北投區知行路２２５巷１２號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","家醫科,內科,神經科,精神科,復健科,牙科,中醫一般科,放射診斷科",20250717,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診看診時間:0800-2200,63000,20000718,北投區,16
0901020013,中山醫療社團法人中山醫院,綜合醫院,(02)27081166,臺北市大安區仁愛路４段１１２巷１１號、１２號,臺北業務組,3,"復健－物理治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,復健科,整形外科,牙科,麻醉科,放射腫瘤科,放射診斷科,解剖病理科",20251231,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供２４小時急診服務,63000,20070101,大安區,2
0901180023,郵政醫院（委託中英醫療社團法人經營）,醫院,(02)23956755,臺北市中正區福州街１４號,臺北業務組,3,"復健－物理治療業務,門診診療,住院診療","內科,外科,骨科,泌尿科,眼科,皮膚科,神經科,復健科,麻醉科,放射診斷科",20270812,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20150813,中正區,3
0901190010,西園醫療社團法人西園醫院,綜合醫院,(02)23076968,臺北市萬華區西園路２段２６６～２７４號、１８５、１８７號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,急診醫學科,牙科,麻醉科,放射診斷科",20270531,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20180601,萬華區,5
1101020027,中心診所醫療財團法人中心綜合醫院,綜合醫院,(02)27510221,臺北市大安區忠孝東路４段７７號,臺北業務組,3,"復健－物理治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,神經科,精神科,復健科,職業醫學科,急診醫學科,牙科,口腔顎面外科,麻醉科,放射診斷科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,19950301,大安區,2
1101020036,宏恩醫療財團法人宏恩綜合醫院,綜合醫院,(02)27713161,臺北市大安區仁愛路４段７１巷１號及４段６１號、９１巷１６號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,神經科,復健科,職業醫學科,牙科,麻醉科,放射線科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診時間：07:00-22:00,63000,19950301,大安區,2
1101110026,康寧醫療財團法人康寧醫院,綜合醫院,(02)26345500,臺北市內湖區成功路５段４２０巷２６號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務,結核病","家醫科,內科,外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,神經科,復健科,急診醫學科,牙科,麻醉科,放射診斷科",20250731,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,19990801,內湖區,14
1301110511,中國醫藥大學附設醫院臺北分院,綜合醫院,(02)27919696,臺北市內湖區內湖路２段３６０號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查,腹膜透析業務","家醫科,內科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,神經科,精神科,復健科,中醫一般科,麻醉科,放射線科",20250824,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,颱風天開診情形請洽本院網站最新消息公告，本院無急診、快篩及PCR服務。,63000,20080825,內湖區,14
1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,醫院,(02)23021133,臺北市萬華區廣州街２００、２４３號,臺北業務組,3,"復健－物理治療業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,胸部低劑量電腦斷層檢查,結核病","家醫科,內科,外科,婦產科,骨科,耳鼻喉科,眼科,皮膚科,神經科,復健科,牙科,中醫一般科,放射診斷科",20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19950301,萬華區,5
