醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
2101010013,臺北市立聯合醫院附設松山門診部,一般診所（醫務室）,(02)27653147,臺北市松山區八德路４段６９４號１樓,臺北業務組,4,門診診療,不分科,20251112,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971113
2101020019,臺北市立聯合醫院附設大安門診部,一般診所（醫務室）,(02)27390997,臺北市大安區辛亥路３段１５號,臺北業務組,4,門診診療,兒科,20251123,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971124
2101090011,臺北市立聯合醫院附設大同門診部,一般診所（醫務室）,(02)25948971,臺北市大同區昌吉街５２號１至２樓,臺北業務組,4,"復健－物理治療業務,門診診療","兒科,骨科",20251130,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971201
2101100227,臺北市立聯合醫院附設中山門診部,一般診所（醫務室）,(02)25013363,臺北市中山區松江路３６７號１樓,臺北業務組,4,門診診療,兒科,20251130,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971201
2101110027,臺北市立聯合醫院附設內湖門診部,一般診所（醫務室）,(02)27908387,臺北市內湖區民權東路６段９９號之１（１樓）,臺北業務組,4,門診診療,內科,20251104,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971105
2101120014,臺北市立聯合醫院附設南港門診部,一般診所（醫務室）,(02)27868756,臺北市南港區南港路１段３６０號１樓,臺北業務組,4,門診診療,不分科,20251105,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,販售時段為星期一至星期六上午9點至12點,63000,19971106
2101150012,臺北市立聯合醫院附設士林門診部,一般診所（醫務室）,(02)28836268,臺北市士林區中正路４３９號１樓,臺北業務組,4,門診診療,"兒科,泌尿科",20251023,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971024
2101151037,臺北市立聯合醫院附設士林中醫門診部,中醫一般診所,(02)28836268,臺北市士林區中正路４３９號,臺北業務組,4,,,20221128,,,63000,20150115
2101161033,臺北市立聯合醫院附設北投門診部,一般診所（醫務室）,(02)28912670,臺北市北投區新市街３０號５樓,臺北業務組,4,"復健－物理治療業務,門診診療","家醫科,眼科,復健科",20260131,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,20050201
2101170050,臺北市立聯合醫院附設信義門診部,一般診所（醫務室）,(02)87804152,臺北市信義區大道路１１６號１樓、２樓,臺北業務組,4,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療","家醫科,內科,牙科",20271201,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19971202
