醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日
1531080226,名恩療養院,精神科醫院,(02)26701092,新北市鶯歌區鶯桃路２段６２號及６４號１至４樓,臺北業務組,4,,,20250125,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20151106
2331010016,新北市板橋區衛生所,一般診所（醫務室）,(02)22586606,新北市板橋區英士路１９２號,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務,結核病",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331020012,新北市三重區衛生所,一般診所（醫務室）,(02)29825233,新北市三重區新北大道１段１號,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務,結核病",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331030018,新北市永和區衛生所,一般診所（醫務室）,(02)32332780,新北市永和區秀朗路１段１３７號１、２、３樓,臺北業務組,4,門診診療,不分科,20250823,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,連假期間皆休診,65000,19950824
2331040014,新北市中和區衛生所,一般診所（醫務室）,(02)22491936,新北市中和區南山路４巷３號,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務",家醫科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,1／1 元旦休診、1／25 ~ 2／2 新年休診,65000,19950301
2331050010,新北市新店區衛生所,專科診所,(02)29113984,新北市新店區北新路１段８６號１２樓,臺北業務組,4,門診診療,家醫科,20280229,星期一上午看診、星期二上午休診、星期三上午看診、星期四上午休診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331060016,新北市新莊區衛生所,一般診所（醫務室）,(02)29967123,新北市新莊區中華路１段２號１至４樓,臺北業務組,4,"安寧居家療護(乙類),門診診療,婦女人類乳突病毒檢測服務",不分科,20280229,星期一上午看診、星期二上午休診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331070012,新北市樹林區衛生所,一般診所（醫務室）,(02)26812134,新北市樹林區樹新路４０－７號１、２樓,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務",不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,門診報到時間，於時間內報到者，皆會看診。,65000,19950301
2331080018,新北市鶯歌區衛生所,一般診所（醫務室）,(02)26702304,新北市鶯歌區文化路３８９號,臺北業務組,4,"門診診療,婦女人類乳突病毒檢測服務",家醫科,20280614,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
2331090014,新北市三峽區衛生所,一般診所（醫務室）,(02)26711592,新北市三峽區光明路７１號３樓,臺北業務組,4,門診診療,不分科,20280229,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午休診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午休診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301
