查詢區間:109年01月01日~109年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市蘆洲區","三民路128巷","2020-08-28 17:30:39 		                  			 ~  		                  				2020-08-28 19:07:19","97","11.00"
"新北市淡水區","淡金路4號前","2020-08-27 13:18:00 		                  			 ~  		                  				2020-08-28 06:32:21","1034","14.00"
"新北市蘆洲區","仁愛街35巷14弄1號","2020-08-11 14:52:43 		                  			 ~  		                  				2020-08-11 15:30:43","38","10.00"
"新北市五股區","疏洪一路五方福德宮前","2020-08-11 14:35:23 		                  			 ~  		                  				2020-08-11 14:50:23","15","10.00"
"新北市蘆洲區","三民路128巷","2020-08-11 14:27:54 		                  			 ~  		                  				2020-08-11 15:36:54","69","13.00"
"新北市新莊區","新泰路82號","2020-08-11 14:10:56 		                  			 ~  		                  				2020-08-11 15:27:56","77","17.00"
"新北市泰山區","新北大道五段、民生路口","2020-08-11 14:10:32 		                  			 ~  		                  				2020-08-11 15:15:32","65","24.00"
"新北市中和區","中和區立德街30號","2020-08-03 17:18:00 		                  			 ~  		                  				2020-08-03 23:10:59","352","-"
"新北市中和區","中和區中和區圓通路213號","2020-08-03 16:08:00 		                  			 ~  		                  				2020-08-03 23:00:21","412","-"
"新北市中和區","中和區中和區工專路","2020-08-03 16:02:00 		                  			 ~  		                  				2020-08-03 23:00:21","418","-"
"新北市中和區","中和區中和區中山路二段11號","2020-08-03 15:59:00 		                  			 ~  		                  				2020-08-03 23:00:21","421","-"
"新北市樹林區","樹林區樹林區三俊街65巷40弄","2020-08-03 15:21:00 		                  			 ~  		                  				2020-08-03 23:10:59","469","-"
"新北市板橋區","板橋區板橋區南雅南路一段35號1樓","2020-08-03 14:33:00 		                  			 ~  		                  				2020-08-03 23:10:59","517","-"
"新北市板橋區","板橋區民族路10號","2020-08-03 14:23:00 		                  			 ~  		                  				2020-08-03 23:10:59","527","-"
"新北市樹林區","樹林區樹林區中正路675號","2020-08-03 14:06:00 		                  			 ~  		                  				2020-08-03 23:10:59","544","-"
"新北市淡水區","新北市淡水區中正路","2020-08-03 14:00:00 		                  			 ~  		                  				2020-08-04 08:40:23","1120","-"
"新北市汐止區","汐止區汐止區新台五路二段301號","2020-08-03 13:49:00 		                  			 ~  		                  				2020-08-03 23:10:59","561","-"
"新北市永和區","永和區新北市永和區國光路16號","2020-08-03 13:48:00 		                  			 ~  		                  				2020-08-03 23:10:59","562","-"
"新北市永和區","國光路35號","2020-08-03 13:46:26 		                  			 ~  		                  				2020-08-04 08:40:23","1134","17.00"
"新北市中和區","中和區中和區圓通路72號","2020-08-03 13:44:00 		                  			 ~  		                  				2020-08-03 23:10:59","566","-"
"新北市三重區","三重區三重區仁愛街299號1樓","2020-08-03 13:17:00 		                  			 ~  		                  				2020-08-03 23:10:59","593","-"
"新北市淡水區","淡水區淡水區中正東路二段107巷1號","2020-08-03 13:08:00 		                  			 ~  		                  				2020-08-03 23:10:59","602","-"
"新北市淡水區","淡水區淡水區中正東路二段21號","2020-08-03 12:26:00 		                  			 ~  		                  				2020-08-03 23:10:59","644","-"
"新北市淡水區","淡水區淡水區民權路 民富街口","2020-08-03 12:19:00 		                  			 ~  		                  				2020-08-03 23:10:59","651","-"
"新北市淡水區","淡水區淡水區淡水區中正路226號","2020-08-03 12:12:00 		                  			 ~  		                  				2020-08-03 23:10:59","658","-"
"新北市淡水區","淡水區淡水區中正路與文化路口","2020-08-03 11:53:00 		                  			 ~  		                  				2020-08-03 23:10:59","677","-"
"新北市八里區","八里區八里區龍米路三段45號","2020-08-03 11:44:00 		                  			 ~  		                  				2020-08-03 23:10:59","686","-"
"新北市泰山區","泰山區新北大道六段","2020-08-03 11:05:00 		                  			 ~  		                  				2020-08-03 23:10:59","725","-"
"新北市五股區","五股區五股區一號越堤道","2020-08-03 11:04:00 		                  			 ~  		                  				2020-08-03 23:10:59","726","-"
"新北市蘆洲區","蘆洲區蘆洲區民權路","2020-08-03 11:00:00 		                  			 ~  		                  				2020-08-03 23:00:21","720","-"
"新北市八里區","林口區林口區台15線往八里方向13K處","2020-08-03 10:33:00 		                  			 ~  		                  				2020-08-03 23:10:59","757","-"
"新北市板橋區","板橋區板橋區大漢橋上","2020-08-03 10:12:00 		                  			 ~  		                  				2020-08-03 23:10:59","778","-"
"新北市永和區","國光路35號","2020-07-26 15:31:50 		                  			 ~  		                  				2020-07-26 16:39:50","68","13.00"
"新北市泰山區","新北大道五段、民生路口","2020-07-02 17:00:34 		                  			 ~  		                  				2020-07-02 19:09:34","129","13.00"
"新北市土城區","金城路二段46巷18-9號","2020-07-02 14:40:35 		                  			 ~  		                  				2020-07-02 18:40:35","240","33.00"
"新北市土城區","和平路99之2號前","2020-07-02 14:40:22 		                  			 ~  		                  				2020-07-02 18:45:22","245","13.00"
"新北市土城區","和平路99之2號前","2020-06-14 17:02:15 		                  			 ~  		                  				2020-06-14 22:02:15","300","17.00"
"新北市土城區","和平路99之2號前","2020-05-28 10:03:23 		                  			 ~  		                  				2020-05-28 22:33:23","750","10.10"
"新北市五股區","疏洪一路1K+300","2020-05-22 00:51:18 		                  			 ~  		                  				2020-05-22 22:16:18","1285","10.10"
"新北市泰山區","新北大道五段、民生路口","2020-05-18 11:09:01 		                  			 ~  		                  				2020-05-18 17:16:01","367","12.20"
"新北市土城區","和平路99之2號前","2020-05-16 15:37:09 		                  			 ~  		                  				2020-05-16 23:07:09","450","11.20"
