查詢區間:110年01月01日~110年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市烏來區","烏來區忠治里金堰路2號橋","2021-09-12 17:32:00 		                  			 ~  		                  				2021-09-12 18:10:00","38","-"
"新北市三峽區","三峽區竹崙路","2021-09-12 14:19:00 		                  			 ~  		                  				2021-09-12 16:00:00","101","-"
"新北市新店區","新店區安興路91巷31號","2021-09-12 13:48:00 		                  			 ~  		                  				2021-09-12 14:00:00","12","-"
"新北市樹林區","大義路189號","2021-08-20 17:01:03 		                  			 ~  		                  				2021-08-20 17:13:03","12","14.00"
"新北市板橋區","新北市板橋區板城路858號","2021-08-14 21:08:00 		                  			 ~  		                  				2021-08-14 22:37:00","89","35.00"
"新北市板橋區","新北市板橋區板城路858號","2021-08-13 14:39:00 		                  			 ~  		                  				2021-08-13 15:18:00","39","38.00"
"新北市五股區","疏洪八路/疏洪一路交叉路口","2021-08-07 11:19:41 		                  			 ~  		                  				2021-08-07 13:29:41","130","28.00"
"新北市林口區","林口區麗園一街文化一路口","2021-07-30 14:38:00 		                  			 ~  		                  				2021-07-30 15:30:00","52","-"
"新北市林口區","林口區吉祥路、信義路","2021-07-30 14:18:00 		                  			 ~  		                  				2021-07-30 15:30:00","72","-"
"新北市八里區","中華路一段與埤頭一街口","2021-07-30 13:59:20 		                  			 ~  		                  				2021-07-30 14:19:20","20","16.00"
"新北市蘆洲區","仁愛街35巷14弄1號","2021-07-29 15:04:23 		                  			 ~  		                  				2021-07-29 16:03:23","59","24.00"
"新北市板橋區","新北市板橋區板城路858號","2021-07-29 14:38:00 		                  			 ~  		                  				2021-07-29 14:59:14","21","25.00"
"新北市板橋區","新北市板橋區板城路858號","2021-07-28 16:04:00 		                  			 ~  		                  				2021-07-28 16:28:00","24","38.00"
"新北市五股區","疏洪一路1K+300","2021-07-24 18:02:06 		                  			 ~  		                  				2021-07-24 20:49:15","167","47.00"
"新北市鶯歌區","鶯歌區新北市鶯歌區國際一路 大湖路交叉路口","2021-07-24 10:01:00 		                  			 ~  		                  				2021-07-24 10:40:00","39","-"
"新北市五股區","疏洪一路/疏洪四路交叉路口","2021-07-24 09:24:26 		                  			 ~  		                  				2021-07-24 16:22:28","418","65.00"
"新北市板橋區","新北市板橋區板城路858號","2021-07-24 06:51:00 		                  			 ~  		                  				2021-07-24 07:46:00","55","34.00"
"新北市蘆洲區","仁愛街35巷14弄1號","2021-07-24 06:41:09 		                  			 ~  		                  				2021-07-24 07:52:09","71","12.00"
"新北市蘆洲區","蘆洲區新北市蘆洲區永安南路二段","2021-07-24 06:41:00 		                  			 ~  		                  				2021-07-24 08:30:00","109","-"
"新北市蘆洲區","三重區永安北路一段72巷","2021-07-24 06:41:00 		                  			 ~  		                  				2021-07-24 08:10:00","89","10.00"
"新北市新莊區","新莊區新莊區五工路37號","2021-07-24 06:34:00 		                  			 ~  		                  				2021-07-24 07:30:00","56","-"
