查詢區間:111年01月01日~111年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市汐止區","汐止區吉林街24巷","2022-10-17 11:14:00 		                  			 ~  		                  				2022-10-17 15:20:00","246","-"
"新北市泰山區","泰山區楓江路143巷10號","2022-10-16 22:36:00 		                  			 ~  		                  				2022-10-17 00:00:00","84","-"
"新北市汐止區","汐止區汐止區長江街","2022-10-16 21:18:00 		                  			 ~  		                  				2022-10-17 00:10:00","172","-"
"新北市瑞芳區","瑞芳區瑞芳區瑞八公路、往瑞濱方向，位於「瑞芳隧道」出口處","2022-10-16 21:13:00 		                  			 ~  		                  				2022-10-16 22:10:00","57","20.00"
"新北市淡水區","淡水區中正東路二段38巷37號","2022-10-16 20:48:00 		                  			 ~  		                  				2022-10-16 22:10:00","82","20.00"
"新北市汐止區","汐止區樟樹一路156號","2022-10-16 20:44:00 		                  			 ~  		                  				2022-10-17 00:10:00","206","-"
"新北市蘆洲區","蘆洲區仁愛街35巷17弄3號","2022-10-16 19:56:00 		                  			 ~  		                  				2022-10-16 22:10:00","134","-"
"新北市板橋區","板橋區懷德街64號與80號","2022-10-16 19:41:00 		                  			 ~  		                  				2022-10-16 22:10:00","149","-"
"新北市汐止區","汐止區八連路一段1巷","2022-10-16 19:37:00 		                  			 ~  		                  				2022-10-17 00:10:00","273","-"
"新北市三重區","三重區五華街35巷18號","2022-10-16 19:36:00 		                  			 ~  		                  				2022-10-17 00:00:00","264","-"
"新北市新店區","板橋區板橋區新北環快4.5K至5K","2022-10-16 19:34:00 		                  			 ~  		                  				2022-10-17 00:10:00","276","-"
"新北市瑞芳區","瑞芳區新北市瑞芳區瑞芳街93號","2022-10-16 19:21:00 		                  			 ~  		                  				2022-10-17 00:00:00","279","-"
"新北市貢寮區","德心街10號(德心宮)","2022-10-16 19:18:46 		                  			 ~  		                  				2022-10-16 19:30:46","12","11.00"
"新北市五股區","五股區新北市五股區4號越堤道路","2022-10-16 19:17:00 		                  			 ~  		                  				2022-10-17 00:00:00","283","-"
"新北市瑞芳區","瑞芳區新北市瑞芳區","2022-10-16 19:12:00 		                  			 ~  		                  				2022-10-17 00:10:00","298","-"
"新北市汐止區","汐止區樟樹一路231號","2022-10-16 19:05:00 		                  			 ~  		                  				2022-10-17 00:10:00","305","-"
"新北市淡水區","淡水區中正東路二段88巷","2022-10-16 19:04:00 		                  			 ~  		                  				2022-10-17 00:00:00","296","-"
"新北市汐止區","汐止區新北市汐止區康寧街","2022-10-16 18:56:00 		                  			 ~  		                  				2022-10-17 00:10:00","314","-"
"新北市三重區","三重區三和路四段","2022-10-16 18:36:00 		                  			 ~  		                  				2022-10-17 00:10:00","334","10.00"
"新北市蘆洲區","蘆洲區新北市蘆洲區復興路","2022-10-16 18:33:00 		                  			 ~  		                  				2022-10-17 00:10:00","337","-"
"新北市汐止區","汐止區康寧街汐湖二橋","2022-10-16 18:30:00 		                  			 ~  		                  				2022-10-17 00:10:00","340","-"
"新北市蘆洲區","蘆洲區新北市蘆洲區中正路185巷3弄44號前","2022-10-16 18:28:00 		                  			 ~  		                  				2022-10-17 00:10:00","342","-"
"新北市金山區","金山區新北市金山區重和里19號1樓","2022-10-16 18:19:00 		                  			 ~  		                  				2022-10-17 00:10:00","351","-"
"新北市三重區","中正北路508巷51號","2022-10-16 18:18:22 		                  			 ~  		                  				2022-10-16 18:48:22","30","12.00"
"新北市蘆洲區","蘆洲區蘆洲區中山二路113巷1之1號","2022-10-16 18:16:00 		                  			 ~  		                  				2022-10-17 00:10:00","354","-"
"新北市五股區","五股區更洲路37號","2022-10-16 18:13:00 		                  			 ~  		                  				2022-10-17 00:10:00","357","-"
"新北市汐止區","汐止區忠孝東路382巷","2022-10-16 18:09:00 		                  			 ~  		                  				2022-10-17 00:10:00","361","-"
"新北市三重區","三重區五華街35巷18號","2022-10-16 18:07:00 		                  			 ~  		                  				2022-10-17 00:00:00","353","-"
"新北市八里區","八里區龍米路一段51號","2022-10-16 18:04:00 		                  			 ~  		                  				2022-10-17 00:10:00","366","-"
"新北市汐止區","汐止區新北市汐止區汐萬路二段","2022-10-16 18:02:00 		                  			 ~  		                  				2022-10-17 00:10:00","368","-"
"新北市蘆洲區","蘆洲區新北市蘆洲區永安北路一段72巷","2022-10-16 17:59:00 		                  			 ~  		                  				2022-10-17 00:10:00","371","-"
"新北市五股區","五股區五股區中興路三段銜接永安大橋的機車道","2022-10-16 17:47:00 		                  			 ~  		                  				2022-10-17 00:00:00","373","-"
"新北市汐止區","新興路47號","2022-10-16 17:33:42 		                  			 ~  		                  				2022-10-16 17:54:42","21","34.00"
"新北市汐止區","汐止區新北市汐止區青山路","2022-10-16 17:29:00 		                  			 ~  		                  				2022-10-17 00:00:00","391","-"
"新北市新莊區","新莊區思源路","2022-10-16 17:11:00 		                  			 ~  		                  				2022-10-17 00:00:00","409","-"
"新北市汐止區","汐止區新北市汐止區大同路一段403巷1號","2022-10-16 16:47:00 		                  			 ~  		                  				2022-10-17 00:00:00","433","-"
"新北市新莊區","新莊區新北市新莊區17號越堤道","2022-10-16 16:30:00 		                  			 ~  		                  				2022-10-16 22:10:00","340","-"
"新北市板橋區","林口區麗園一街4巷1號","2022-10-16 16:01:00 		                  			 ~  		                  				2022-10-16 22:10:00","369","10.00"
"新北市汐止區","汐止區汐止區汐萬路二段200號","2022-10-16 15:48:00 		                  			 ~  		                  				2022-10-16 20:00:00","252","-"
"新北市汐止區","汐止區汐止區汐萬路一段","2022-10-16 15:40:00 		                  			 ~  		                  				2022-10-17 02:30:00","650","-"
"新北市汐止區","汐止區新北市汐止區 汐止往南港路  大同路左側 過舊鐵路隧道(機車道) 約200尺處","2022-10-16 15:39:00 		                  			 ~  		                  				2022-10-17 07:00:00","921","-"
"新北市五股區","疏洪六路/疏洪一路交叉路口","2022-10-16 15:37:34 		                  			 ~  		                  				2022-10-16 21:58:27","381","61.00"
"新北市五股區","疏洪一路/疏洪四路交叉路口","2022-10-16 15:37:23 		                  			 ~  		                  				2022-10-17 00:03:23","506","62.00"
"新北市蘆洲區","蘆洲區仁愛街212巷24號","2022-10-16 15:28:00 		                  			 ~  		                  				2022-10-17 00:10:00","522","-"
"新北市蘆洲區","蘆洲區三民路128巷87-6號","2022-10-16 15:26:00 		                  			 ~  		                  				2022-10-17 00:10:00","524","-"
"新北市五股區","疏洪八路/疏洪一路交叉路口","2022-10-16 15:25:11 		                  			 ~  		                  				2022-10-16 22:44:11","439","72.00"
"新北市新莊區","新莊區新北市新莊區利濟街利濟橫移門","2022-10-16 15:25:00 		                  			 ~  		                  				2022-10-17 00:10:00","525","-"
"新北市五股區","疏洪一路五方福德宮前","2022-10-16 15:23:13 		                  			 ~  		                  				2022-10-17 06:39:13","916","107.00"
"新北市汐止區","汐止區汐止區仁愛路162之6號","2022-10-16 15:21:00 		                  			 ~  		                  				2022-10-16 16:40:00","79","10.00"
"新北市林口區","林口區文化三路一段與忠孝路口","2022-10-16 15:19:00 		                  			 ~  		                  				2022-10-17 00:10:00","531","-"
"新北市中和區","中和區民利街118巷7號","2022-10-16 15:18:00 		                  			 ~  		                  				2022-10-17 00:00:00","522","-"
"新北市汐止區","汐止區汐止區水源路二段190號","2022-10-16 15:07:00 		                  			 ~  		                  				2022-10-16 17:10:00","123","-"
"新北市五股區","成泰路一段98巷","2022-10-16 15:06:17 		                  			 ~  		                  				2022-10-16 19:57:16","291","60.00"
"新北市汐止區","汐止區三民街1巷2號","2022-10-16 14:56:00 		                  			 ~  		                  				2022-10-16 18:10:00","194","-"
"新北市汐止區","汐止區新北市汐止區汐萬路一段","2022-10-16 14:55:00 		                  			 ~  		                  				2022-10-16 18:40:00","225","-"
"新北市汐止區","汐止區東勢街1巷3號","2022-10-16 14:45:00 		                  			 ~  		                  				2022-10-16 16:00:00","75","-"
"新北市汐止區","南陽街車行地下道","2022-10-16 14:41:06 		                  			 ~  		                  				2022-10-16 19:52:06","311","177.00"
"新北市汐止區","汐止區汐止區樟樹二路330巷","2022-10-16 14:36:00 		                  			 ~  		                  				2022-10-16 17:30:00","174","20.00"
"新北市汐止區","仁愛路254號","2022-10-16 14:33:39 		                  			 ~  		                  				2022-10-16 14:37:39","4","11.00"
"新北市汐止區","汐止區大同路三段110號","2022-10-16 14:33:00 		                  			 ~  		                  				2022-10-16 16:10:00","97","-"
"新北市永和區","永和區福和橋","2022-10-16 11:05:00 		                  			 ~  		                  				2022-10-17 00:10:00","785","10.00"
"新北市林口區","林口區林口區文化北路一段","2022-10-16 11:03:00 		                  			 ~  		                  				2022-10-17 00:00:00","777","-"
"新北市汐止區","汐止區汐止區貨運聯絡道","2022-09-12 15:38:00 		                  			 ~  		                  				2022-09-12 17:00:00","82","-"
"新北市烏來區","新北市烏來區信福路段","2022-09-11 16:00:00 		                  			 ~  		                  				2022-09-11 18:00:00","120","40.00"
"新北市五股區","成泰路一段98巷","2022-09-03 11:35:17 		                  			 ~  		                  				2022-09-03 11:45:17","10","12.00"
"新北市永和區","永和區永福橋","2022-09-02 19:48:00 		                  			 ~  		                  				2022-09-02 22:10:00","142","-"
"新北市中和區","忠孝街11巷24號","2022-08-25 17:30:00 		                  			 ~","null","10.00"
"臺北市信義區","汐止區汐止貨櫃聯絡道(台北往汐止方向)","2022-08-25 17:22:00 		                  			 ~  		                  				2022-08-25 18:00:00","38","15.00"
"新北市中和區","仁愛路23號","2022-08-25 17:20:00 		                  			 ~  		                  				2022-08-25 18:10:00","50","10.00"
"新北市永和區","永和區林森路","2022-08-25 17:02:00 		                  			 ~  		                  				2022-08-25 17:30:00","28","-"
"新北市新店區","安平路高速公路涵洞","2022-08-25 17:00:00 		                  			 ~  		                  				2022-08-25 17:50:00","50","20.00"
"新北市中和區","中和區景新街418巷18弄","2022-08-25 16:42:00 		                  			 ~  		                  				2022-08-25 18:00:00","78","-"
"新北市永和區","國光路35號","2022-08-25 16:34:16 		                  			 ~  		                  				2022-08-25 16:39:16","5","13.00"
"新北市新店區","新店區新北市新店區安和路二段3號之3","2022-08-25 16:33:00 		                  			 ~  		                  				2022-08-25 17:50:00","77","-"
"新北市中和區","中和區景新街467巷20弄12號1樓","2022-08-25 16:15:00 		                  			 ~  		                  				2022-08-25 17:50:00","95","-"
"新北市永和區","永利路73號","2022-08-25 16:13:14 		                  			 ~  		                  				2022-08-25 16:24:16","11","11.00"
"新北市板橋區","板橋區文化路","2022-08-02 10:27:00 		                  			 ~  		                  				2022-08-02 10:50:00","23","-"
"新北市中和區","中和區莒光路國光街","2022-08-02 09:44:00 		                  			 ~  		                  				2022-08-02 10:50:00","66","-"
"臺南市新營區","淡水區中正路200號","2022-08-02 09:26:00 		                  			 ~  		                  				2022-08-02 10:00:00","34","-"
"新北市八里區","八里區龍米路三段(往林口方向)","2022-08-02 09:25:00 		                  			 ~  		                  				2022-08-02 11:10:00","105","-"
"新北市八里區","中華路一段與埤頭一街口","2022-08-02 09:21:26 		                  			 ~  		                  				2022-08-02 10:44:26","83","20.00"
"新北市淡水區","淡水區新興國小","2022-08-02 09:21:00 		                  			 ~  		                  				2022-08-02 10:20:00","59","-"
"新北市板橋區","新北市 板橋區 溪城路93號","2022-07-05 15:00:00 		                  			 ~  		                  				2022-07-05 17:00:00","120","10.00"
"新北市八里區","新北市 八里區 台61線中山路三段323號","2022-07-05 15:00:00 		                  			 ~  		                  				2022-07-05 17:00:00","120","10.00"
"新北市五股區","成泰路一段98巷","2022-07-05 13:59:17 		                  			 ~  		                  				2022-07-05 14:17:17","18","12.00"
"新北市五股區","五股國小附近","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市樹林區","中山地下道","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市五股區","夏綠地街","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市新莊區","新莊迴龍中正路、鳳翔社區門口一帶","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市八里區","龍米路一段51號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市樹林區","武林街6號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市板橋區","漢生東路 中山路一段交叉路口","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市新莊區","萬安街165巷2號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市五股區","更洲路35號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市泰山區","工專路積淹水","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
