查詢區間:112年01月01日~112年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市板橋區","板橋區松柏街33巷18號","2023-10-05 13:12:00 		                  			 ~  		                  				2023-10-06 22:49:56","2017","-"
"新北市新店區","新店區新北市新店區環河路 力行路交叉路口","2023-10-04 19:58:00 		                  			 ~  		                  				2023-10-06 22:49:56","3051","-"
"新北市板橋區","中山路與漢生東路口","2023-09-06 15:17:16 		                  			 ~  		                  				2023-09-06 15:39:16","22","20.00"
"新北市永和區","國光路35號","2023-09-06 14:50:00 		                  			 ~  		                  				2023-09-06 15:05:00","15","15.00"
"新北市板橋區","大觀路一段(車行地下道)","2023-09-06 14:38:04 		                  			 ~  		                  				2023-09-06 14:53:04","15","12.00"
"新北市三峽區","新北市三峽區臺北大學校門口","2023-08-20 16:00:00 		                  			 ~  		                  				2023-08-20 16:30:00","30","30.00"
"新北市三峽區","新北市三峽區三峽老街","2023-08-20 15:30:00 		                  			 ~  		                  				2023-08-20 16:00:00","30","30.00"
"新北市板橋區","大觀路一段(車行地下道)","2023-08-20 15:14:28 		                  			 ~  		                  				2023-08-20 16:07:28","53","26.00"
"新北市新莊區","幸福路834號","2023-08-20 15:14:05 		                  			 ~  		                  				2023-08-20 15:25:05","11","20.00"
"新北市蘆洲區","仁愛街212巷24號","2023-08-20 15:13:03 		                  			 ~  		                  				2023-08-20 15:59:03","46","13.00"
"新北市五股區","成泰路一段98巷","2023-08-20 15:11:03 		                  			 ~  		                  				2023-08-20 15:38:03","27","33.00"
"新北市樹林區","新北市樹林區佳園路三段及學府路口","2023-08-20 15:10:00 		                  			 ~  		                  				2023-08-20 16:00:00","50","30.00"
"新北市板橋區","中山路與漢生東路口","2023-08-20 14:45:52 		                  			 ~  		                  				2023-08-20 14:53:52","8","11.00"
"新北市土城區","金城路二段46巷18-9號","2023-08-20 14:25:51 		                  			 ~  		                  				2023-08-20 14:49:51","24","30.00"
"新北市泰山區","泰山區新生路","2023-08-16 16:53:00 		                  			 ~  		                  				2023-08-18 09:10:57","2417","-"
"新北市永和區","永和區福和路","2023-08-16 16:51:00 		                  			 ~  		                  				2023-08-18 09:10:57","2419","-"
"新北市樹林區","樹林區大安路","2023-08-16 16:49:00 		                  			 ~  		                  				2023-08-18 09:10:57","2421","-"
"新北市新莊區","新莊區富國路","2023-08-16 16:48:00 		                  			 ~  		                  				2023-08-18 09:10:57","2422","-"
"新北市土城區","土城區裕民路","2023-08-16 16:44:00 		                  			 ~  		                  				2023-08-18 09:10:57","2426","-"
"新北市永和區","永和區福和路","2023-08-16 16:43:00 		                  			 ~  		                  				2023-08-18 09:10:57","2427","-"
"新北市鶯歌區","鶯歌區建國路","2023-08-16 16:41:00 		                  			 ~  		                  				2023-08-18 09:10:57","2429","-"
"新北市蘆洲區","三重區復興路","2023-08-16 16:35:00 		                  			 ~  		                  				2023-08-18 09:10:57","2435","-"
"新北市樹林區","樹林區中山地下道","2023-08-11 15:38:00 		                  			 ~  		                  				2023-08-13 12:09:59","2671","-"
"新北市樹林區","樹林區佳園路三段與桃子腳路交叉口","2023-08-11 15:38:00 		                  			 ~  		                  				2023-08-13 12:09:59","2671","-"
"新北市三峽區","三峽區中正路1段307-329號","2023-08-11 15:34:00 		                  			 ~  		                  				2023-08-13 12:09:59","2675","-"
"新北市土城區","土城區中華路一段90號","2023-08-11 15:19:00 		                  			 ~  		                  				2023-08-11 16:50:00","91","-"
"新北市板橋區","大觀路一段(車行地下道)","2023-08-11 15:15:24 		                  			 ~  		                  				2023-08-11 15:54:24","39","14.00"
"新北市板橋區","板橋區新北市板橋區板城路","2023-08-11 15:10:00 		                  			 ~  		                  				2023-08-13 12:09:59","2699","-"
"新北市五股區","疏洪八路/疏洪一路交叉路口","2023-08-10 18:57:23 		                  			 ~  		                  				2023-08-10 20:01:23","64","15.00"
"新北市五股區","疏洪一路五方福德宮前","2023-08-10 18:56:53 		                  			 ~  		                  				2023-08-10 20:42:48","106","41.00"
"新北市三重區","三重區重陽路一段10號","2023-08-10 18:43:00 		                  			 ~  		                  				2023-08-10 22:40:00","237","-"
"新北市新莊區","新莊區後港一 路163號","2023-08-10 18:37:00 		                  			 ~  		                  				2023-08-10 22:40:00","243","-"
"新北市新莊區","新莊區幸福路","2023-08-10 18:19:00 		                  			 ~  		                  				2023-08-10 22:40:00","261","-"
"新北市樹林區","樹林區中華路「樹林中學」公車站","2023-08-10 18:12:00 		                  			 ~  		                  				2023-08-10 22:40:00","268","-"
"新北市泰山區","泰山區新北大道六段460號","2023-08-10 17:34:00 		                  			 ~  		                  				2023-08-10 19:00:00","86","-"
"新北市鶯歌區","鶯歌區鶯桃路455巷2弄","2023-08-10 17:32:00 		                  			 ~  		                  				2023-08-10 18:30:00","58","-"
"新北市板橋區","鶯歌區大湖路","2023-08-10 17:22:00 		                  			 ~  		                  				2023-08-10 19:00:00","98","-"
"新北市新莊區","新莊區中信街176號","2023-08-10 17:19:00 		                  			 ~  		                  				2023-08-10 18:30:00","71","-"
"新北市三重區","三重區新北市三重區成功路","2023-08-10 17:01:00 		                  			 ~  		                  				2023-08-10 19:00:00","119","-"
"新北市板橋區","板橋區板橋區縣民大道三段398號","2023-08-10 16:53:00 		                  			 ~  		                  				2023-08-10 18:30:00","97","-"
"新北市板橋區","三重區重新橋","2023-08-10 16:52:00 		                  			 ~  		                  				2023-08-10 19:00:00","128","-"
"新北市新店區","新店區安康路二段296號","2023-08-10 16:49:00 		                  			 ~  		                  				2023-08-10 18:30:00","101","-"
"新北市板橋區","泰山區新北大道","2023-08-10 16:49:00 		                  			 ~  		                  				2023-08-10 18:30:00","101","-"
"新北市鶯歌區","鶯歌區鶯歌火車站","2023-08-10 16:46:00 		                  			 ~  		                  				2023-08-10 18:30:00","104","-"
"新北市板橋區","板橋區民生路三段","2023-08-10 16:45:00 		                  			 ~  		                  				2023-08-10 18:30:00","105","-"
"新北市淡水區","淡水區中正東路二段110號","2023-08-10 16:40:00 		                  			 ~  		                  				2023-08-10 19:00:00","140","-"
"新北市新莊區","新莊區新北市新莊區","2023-08-10 16:40:00 		                  			 ~  		                  				2023-08-10 18:30:00","110","-"
"新北市三重區","三重區正義南路與重新路一段","2023-08-10 16:37:00 		                  			 ~  		                  				2023-08-10 18:30:00","113","-"
"新北市板橋區","板橋區江翠站","2023-08-10 16:34:00 		                  			 ~  		                  				2023-08-10 18:30:00","116","-"
"新北市樹林區","樹林區柑園樹林交流道","2023-08-10 16:33:00 		                  			 ~  		                  				2023-08-10 22:40:00","367","-"
"新北市永和區","永和區中正橋","2023-08-10 16:31:00 		                  			 ~  		                  				2023-08-10 22:40:00","369","-"
"新北市中和區","中和區捷運橋和站外","2023-08-10 16:30:00 		                  			 ~  		                  				2023-08-10 22:40:00","370","-"
"新北市板橋區","新莊區大漢橋機車道","2023-08-10 16:28:00 		                  			 ~  		                  				2023-08-10 22:40:00","372","-"
