查詢區間:113年01月01日~113年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市三峽區","三峽區新北市三峽區國學街39號B1","2024-10-31 23:26:00 		                  			 ~  		                  				2024-11-01 03:00:00","214","-"
"新北市五股區","疏洪一路五方福德宮前","2024-10-31 12:45:00 		                  			 ~  		                  				2024-10-31 14:05:00","80","14.00"
"新北市汐止區","汐止區新北市汐止區新台五路一段 南港往汐止方向涵洞","2024-10-31 12:23:00 		                  			 ~  		                  				2024-11-01 05:00:00","997","-"
"新北市汐止區","汐止區新北市汐止區水源路二段36巷","2024-10-31 12:14:00 		                  			 ~  		                  				2024-11-01 04:30:00","976","-"
"新北市汐止區","汐止區新北市汐止區南陽街  涵洞","2024-10-31 12:12:00 		                  			 ~  		                  				2024-11-01 04:30:00","978","-"
"新北市汐止區","汐止區新北市汐止區民族五街40號","2024-10-31 12:06:00 		                  			 ~  		                  				2024-11-01 04:30:00","984","-"
"新北市汐止區","南陽街車行地下道","2024-10-31 12:00:00 		                  			 ~  		                  				2024-10-31 12:30:00","30","19.00"
"新北市瑞芳區","瑞芳區新北市瑞芳區 瑞芳運動公園-員山子路與蛇子形路口 附近","2024-10-31 11:47:00 		                  			 ~  		                  				2024-11-01 04:40:00","1013","-"
"新北市板橋區","板橋區松柏街37號至53號","2024-10-31 11:45:00 		                  			 ~  		                  				2024-11-01 04:40:00","1015","-"
"新北市五股區","疏洪一路1K+300","2024-10-31 11:35:00 		                  			 ~  		                  				2024-10-31 16:45:00","310","59.00"
"新北市鶯歌區","鶯歌區新北市鶯歌區大湖路平交道","2024-10-31 06:25:00 		                  			 ~  		                  				2024-10-31 09:50:00","205","50.00"
"新北市平溪區","平溪區十分街283號","2024-10-30 14:45:00 		                  			 ~  		                  				2024-10-31 22:39:17","1914","-"
"新北市淡水區","三芝區圓山里24之3號","2024-10-05 10:49:00 		                  			 ~  		                  				2024-10-07 09:19:36","2790","-"
"新北市三芝區","三芝區福德里9鄰埔尾1號","2024-10-05 08:36:00 		                  			 ~  		                  				2024-10-07 09:19:36","2923","-"
"新北市三芝區","三芝區三芝區埔坪里埔頭坑下山方向","2024-10-05 06:41:00 		                  			 ~  		                  				2024-10-06 23:49:39","2468","-"
"新北市萬里區","萬里區加投路214號","2024-10-05 01:13:00 		                  			 ~  		                  				2024-10-05 08:20:00","427","-"
"新北市金山區","金山區新北市金山區下六股72號","2024-10-04 21:47:00 		                  			 ~  		                  				2024-10-05 01:10:00","203","-"
"新北市金山區","萬里區新北市萬里區清水路 鎮天宮 旁小路 往三界壇路上","2024-10-04 20:32:00 		                  			 ~  		                  				2024-10-04 23:00:00","148","-"
"新北市淡水區","淡水區北投里62之13號","2024-10-04 20:22:00 		                  			 ~","null","-"
"新北市萬里區","萬里區加投路81號","2024-10-04 20:17:00 		                  			 ~  		                  				2024-10-04 23:50:00","213","-"
"新北市金山區","金山區忠孝一路19巷7號1樓","2024-10-04 20:09:00 		                  			 ~  		                  				2024-10-05 00:00:00","231","-"
"新北市金山區","金山區新北市金山區下六股72號","2024-10-04 20:00:00 		                  			 ~  		                  				2024-10-05 23:49:47","1669","-"
"新北市萬里區","萬里區新北市萬里區加投62號之4","2024-10-04 19:55:00 		                  			 ~  		                  				2024-10-05 23:49:47","1674","-"
"新北市金山區","金山區台2線","2024-10-04 19:44:00 		                  			 ~  		                  				2024-10-04 22:20:00","156","-"
"新北市金山區","金山區新北市金山區西勢2號之5","2024-10-04 19:42:00 		                  			 ~  		                  				2024-10-05 01:10:00","328","-"
"新北市金山區","金山區新北市金山區金包里街14巷6號1樓","2024-10-04 19:42:00 		                  			 ~  		                  				2024-10-05 01:10:00","328","-"
"新北市金山區","金山區新北市金山區三界壇路93號","2024-10-04 19:20:00 		                  			 ~  		                  				2024-10-04 23:40:00","260","-"
"新北市三芝區","三芝區芝蘭公園","2024-10-04 19:11:00 		                  			 ~  		                  				2024-10-04 20:10:00","59","-"
"新北市金山區","金山區新北市金山區 台2線 中角附近","2024-10-04 18:45:00 		                  			 ~  		                  				2024-10-05 23:49:47","1744","-"
"新北市三芝區","三芝區八連溪45號","2024-10-04 18:34:00 		                  			 ~  		                  				2024-10-04 22:50:00","256","-"
"新北市淡水區","淡水區賢孝里公埔子13號","2024-10-04 18:22:00 		                  			 ~  		                  				2024-10-05 23:49:47","1767","-"
"新北市三芝區","三芝區埔頭坑溪","2024-10-04 18:20:00 		                  			 ~  		                  				2024-10-04 22:50:00","270","-"
"新北市金山區","金山區新北市金山區清水路16巷12號","2024-10-04 18:18:00 		                  			 ~  		                  				2024-10-04 23:50:00","332","-"
"新北市三芝區","三芝區蟹蟹農場","2024-10-04 18:16:00 		                  			 ~  		                  				2024-10-05 01:10:00","414","-"
"新北市三芝區","三芝區新北市三芝區埔頭坑","2024-10-04 17:50:00 		                  			 ~  		                  				2024-10-05 01:10:00","440","-"
