data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2020-08-28 17:30:39+08,蘆洲區,三民路128巷,2020-08-28 17:30:39~2020-08-28 19:07:19,97.0,11.00,25.09074728,121.46674638
2020-08-27 13:18:00+08,淡水區,淡金路4號前,2020-08-27 13:18:00~2020-08-28 06:32:21,1034.0,14.00,25.0196686,121.302522
2020-08-11 14:52:43+08,蘆洲區,仁愛街35巷14弄1號,2020-08-11 14:52:43~2020-08-11 15:30:43,38.0,10.00,25.09273608,121.46878168
2020-08-11 14:35:23+08,五股區,疏洪一路五方福德宮前,2020-08-11 14:35:23~2020-08-11 14:50:23,15.0,10.00,25.08276388,121.45071938
2020-08-11 14:27:54+08,蘆洲區,三民路128巷,2020-08-11 14:27:54~2020-08-11 15:36:54,69.0,13.00,25.09074728,121.46674638
2020-08-11 14:10:56+08,新莊區,新泰路82號,2020-08-11 14:10:56~2020-08-11 15:27:56,77.0,17.00,25.03515818,121.44648378
2020-08-11 14:10:32+08,泰山區,新北大道五段、民生路口,2020-08-11 14:10:32~2020-08-11 15:15:32,65.0,24.00,25.03771482,121.4086924
2020-08-03 17:18:00+08,中和區,中和區立德街30號,2020-08-03 17:18:00~2020-08-03 23:10:59,352.0,0,25.00700058,121.48689028
2020-08-03 16:08:00+08,中和區,中和區中和區圓通路213號,2020-08-03 16:08:00~2020-08-03 23:00:21,412.0,0,24.99433318,121.49426838
2020-08-03 16:02:00+08,中和區,中和區中和區工專路,2020-08-03 16:02:00~2020-08-03 23:00:21,418.0,0,24.98042208,121.50514398
2020-08-03 15:59:00+08,中和區,中和區中和區中山路二段11號,2020-08-03 15:59:00~2020-08-03 23:00:21,421.0,0,25.00555508,121.50279348
2020-08-03 15:21:00+08,樹林區,樹林區樹林區三俊街65巷40弄,2020-08-03 15:21:00~2020-08-03 23:10:59,469.0,0,25.01778308,121.41180298
2020-08-03 14:33:00+08,板橋區,板橋區板橋區南雅南路一段35號1樓,2020-08-03 14:33:00~2020-08-03 23:10:59,517.0,0,25.00641458,121.45365648
2020-08-03 14:23:00+08,板橋區,板橋區民族路10號,2020-08-03 14:23:00~2020-08-03 23:10:59,527.0,0,25.00931258,121.45908918
2020-08-03 14:06:00+08,樹林區,樹林區樹林區中正路675號,2020-08-03 14:06:00~2020-08-03 23:10:59,544.0,0,25.01333658,121.40928788
2020-08-03 14:00:00+08,淡水區,新北市淡水區中正路,2020-08-03 14:00:00~2020-08-04 08:40:23,1120.0,0,25.17161838,121.43552888
2020-08-03 13:49:00+08,汐止區,汐止區汐止區新台五路二段301號,2020-08-03 13:49:00~2020-08-03 23:10:59,561.0,0,25.07225118,121.68633088
2020-08-03 13:48:00+08,永和區,永和區新北市永和區國光路16號,2020-08-03 13:48:00~2020-08-03 23:10:59,562.0,0,25.00851078,121.51641718
2020-08-03 13:46:26+08,永和區,國光路35號,2020-08-03 13:46:26~2020-08-04 08:40:23,1134.0,17.00,25.01810838,121.45661128
2020-08-03 13:44:00+08,中和區,中和區中和區圓通路72號,2020-08-03 13:44:00~2020-08-03 23:10:59,566.0,0,,
2020-08-03 13:17:00+08,三重區,三重區三重區仁愛街299號1樓,2020-08-03 13:17:00~2020-08-03 23:10:59,593.0,0,25.07928328,121.48996658
2020-08-03 13:08:00+08,淡水區,淡水區淡水區中正東路二段107巷1號,2020-08-03 13:08:00~2020-08-03 23:10:59,602.0,0,25.15173938,121.45744318
2020-08-03 12:26:00+08,淡水區,淡水區淡水區中正東路二段21號,2020-08-03 12:26:00~2020-08-03 23:10:59,644.0,0,25.15730788,121.45635538
2020-08-03 12:19:00+08,淡水區,淡水區淡水區民權路 民富街口,2020-08-03 12:19:00~2020-08-03 23:10:59,651.0,0,25.14176648,121.45900408
2020-08-03 12:12:00+08,淡水區,淡水區淡水區淡水區中正路226號,2020-08-03 12:12:00~2020-08-03 23:10:59,658.0,0,25.17046438,121.43676378
2020-08-03 11:53:00+08,淡水區,淡水區淡水區中正路與文化路口,2020-08-03 11:53:00~2020-08-03 23:10:59,677.0,0,25.17620002,121.41296718
2020-08-03 11:44:00+08,八里區,八里區八里區龍米路三段45號,2020-08-03 11:44:00~2020-08-03 23:10:59,686.0,0,25.15888728,121.42204528
2020-08-03 11:05:00+08,泰山區,泰山區新北大道六段,2020-08-03 11:05:00~2020-08-03 23:10:59,725.0,0,25.03557578,121.42301778
2020-08-03 11:04:00+08,五股區,五股區五股區一號越堤道,2020-08-03 11:04:00~2020-08-03 23:10:59,726.0,0,25.10026208,121.45169708
2020-08-03 11:00:00+08,蘆洲區,蘆洲區蘆洲區民權路,2020-08-03 11:00:00~2020-08-03 23:00:21,720.0,0,25.08797948,121.47152608
2020-08-03 10:33:00+08,八里區,林口區林口區台15線往八里方向13K處,2020-08-03 10:33:00~2020-08-03 23:10:59,757.0,0,25.13557451,121.28540146
2020-08-03 10:12:00+08,板橋區,板橋區板橋區大漢橋上,2020-08-03 10:12:00~2020-08-03 23:10:59,778.0,0,25.01975909,121.45703355
2020-07-26 15:31:50+08,永和區,國光路35號,2020-07-26 15:31:50~2020-07-26 16:39:50,68.0,13.00,25.01810838,121.45661128
2020-07-02 17:00:34+08,泰山區,新北大道五段、民生路口,2020-07-02 17:00:34~2020-07-02 19:09:34,129.0,13.00,25.03771482,121.4086924
2020-07-02 14:40:35+08,土城區,金城路二段46巷18-9號,2020-07-02 14:40:35~2020-07-02 18:40:35,240.0,33.00,24.97698578,121.44944168
2020-07-02 14:40:22+08,土城區,和平路99之2號前,2020-07-02 14:40:22~2020-07-02 18:45:22,245.0,13.00,25.01975803,121.44673367
2020-06-14 17:02:15+08,土城區,和平路99之2號前,2020-06-14 17:02:15~2020-06-14 22:02:15,300.0,17.00,25.01975803,121.44673367
2020-05-28 10:03:23+08,土城區,和平路99之2號前,2020-05-28 10:03:23~2020-05-28 22:33:23,750.0,10.10,25.01975803,121.44673367
2020-05-22 00:51:18+08,五股區,疏洪一路1K+300,2020-05-22 00:51:18~2020-05-22 22:16:18,1285.0,10.10,25.06814088,121.46561338
2020-05-18 11:09:01+08,泰山區,新北大道五段、民生路口,2020-05-18 11:09:01~2020-05-18 17:16:01,367.0,12.20,25.03771482,121.4086924
2020-05-16 15:37:09+08,土城區,和平路99之2號前,2020-05-16 15:37:09~2020-05-16 23:07:09,450.0,11.20,25.01975803,121.44673367
2021-09-12 17:32:00+08,烏來區,烏來區忠治里金堰路2號橋,2021-09-12 17:32:00~2021-09-12 18:10:00,38.0,0,24.87520345,121.5391715
2021-09-12 14:19:00+08,三峽區,三峽區竹崙路,2021-09-12 14:19:00~2021-09-12 16:00:00,101.0,0,24.89706078,121.44218528
2021-09-12 13:48:00+08,新店區,新店區安興路91巷31號,2021-09-12 13:48:00~2021-09-12 14:00:00,12.0,0,24.97478488,121.51198808
2021-08-20 17:01:03+08,樹林區,大義路189號,2021-08-20 17:01:03~2021-08-20 17:13:03,12.0,14.00,24.94528728,121.37532318
2021-08-14 21:08:00+08,板橋區,新北市板橋區板城路858號,2021-08-14 21:08:00~2021-08-14 22:37:00,89.0,35.00,24.99435948,121.44395228
2021-08-13 14:39:00+08,板橋區,新北市板橋區板城路858號,2021-08-13 14:39:00~2021-08-13 15:18:00,39.0,38.00,24.99435948,121.44395228
2021-08-07 11:19:41+08,五股區,疏洪八路/疏洪一路交叉路口,2021-08-07 11:19:41~2021-08-07 13:29:41,130.0,28.00,25.07417508,121.44644103
2021-07-30 14:38:00+08,林口區,林口區麗園一街文化一路口,2021-07-30 14:38:00~2021-07-30 15:30:00,52.0,0,25.07058661,121.37178404
2021-07-30 14:18:00+08,林口區,林口區吉祥路、信義路,2021-07-30 14:18:00~2021-07-30 15:30:00,72.0,0,25.08129538,121.37425968
2021-07-30 13:59:20+08,八里區,中華路一段與埤頭一街口,2021-07-30 13:59:20~2021-07-30 14:19:20,20.0,16.00,25.15533948,121.41360148
2021-07-29 15:04:23+08,蘆洲區,仁愛街35巷14弄1號,2021-07-29 15:04:23~2021-07-29 16:03:23,59.0,24.00,25.09273608,121.46878168
2021-07-29 14:38:00+08,板橋區,新北市板橋區板城路858號,2021-07-29 14:38:00~2021-07-29 14:59:14,21.0,25.00,24.99435948,121.44395228
2021-07-28 16:04:00+08,板橋區,新北市板橋區板城路858號,2021-07-28 16:04:00~2021-07-28 16:28:00,24.0,38.00,24.99435948,121.44395228
2021-07-24 18:02:06+08,五股區,疏洪一路1K+300,2021-07-24 18:02:06~2021-07-24 20:49:15,167.0,47.00,25.06814088,121.46561338
2021-07-24 10:01:00+08,鶯歌區,鶯歌區新北市鶯歌區國際一路 大湖路交叉路口,2021-07-24 10:01:00~2021-07-24 10:40:00,39.0,0,25.0196686,121.302522
2021-07-24 09:24:26+08,五股區,疏洪一路/疏洪四路交叉路口,2021-07-24 09:24:26~2021-07-24 16:22:28,418.0,65.00,25.09815798,121.45402108
2021-07-24 06:51:00+08,板橋區,新北市板橋區板城路858號,2021-07-24 06:51:00~2021-07-24 07:46:00,55.0,34.00,24.99435948,121.44395228
2021-07-24 06:41:09+08,蘆洲區,仁愛街35巷14弄1號,2021-07-24 06:41:09~2021-07-24 07:52:09,71.0,12.00,25.09273608,121.46878168
2021-07-24 06:41:00+08,蘆洲區,蘆洲區新北市蘆洲區永安南路二段,2021-07-24 06:41:00~2021-07-24 08:30:00,109.0,0,25.07886588,121.45911798
2021-07-24 06:41:00+08,蘆洲區,三重區永安北路一段72巷,2021-07-24 06:41:00~2021-07-24 08:10:00,89.0,10.00,25.07720028,121.47447018
2021-07-24 06:34:00+08,新莊區,新莊區新莊區五工路37號,2021-07-24 06:34:00~2021-07-24 07:30:00,56.0,0,25.06122388,121.45720258
2021-07-24 06:31:00+08,三峽區,三峽區竹崙路8.6公里至8.9公里處,2021-07-24 06:31:00~2021-07-24 08:50:00,139.0,0,24.89706045,121.43446045
2021-07-24 06:29:52+08,蘆洲區,仁愛街212巷24號,2021-07-24 06:29:52~2021-07-24 07:32:52,63.0,19.00,25.09380508,121.46176968
2021-07-24 06:24:00+08,淡水區,淡水區新北市淡水區民權路,2021-07-24 06:24:00~2021-07-24 07:30:00,66.0,0,25.12844388,121.45752998
2021-07-24 06:22:26+08,蘆洲區,三民路128巷,2021-07-24 06:22:26~2021-07-24 06:41:26,19.0,12.00,25.09074728,121.46674638
2021-07-22 10:47:00+08,新店區,新店區寶興便道,2021-07-22 10:47:00~2021-07-23 07:10:00,1223.0,0,24.97311156,121.54574649
2021-06-22 15:51:28+08,三重區,中正北路508巷51號,2021-06-22 15:51:28~2021-06-22 15:54:38,3.0,18.00,25.07019938,121.46995298
2021-06-04 16:56:18+08,五股區,疏洪八路/疏洪一路交叉路口,2021-06-04 16:56:18~2021-06-04 17:06:18,10.0,27.00,25.07087688,121.45593708
2021-06-04 16:17:00+08,新莊區,新莊區新莊高中,2021-06-04 16:17:00~2021-06-04 18:00:00,103.0,0,25.04822598,121.44196528
