"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2020-08-27 13:50:00+08","士林區","臺北市士林區中山北路與福林路口","2020-08-27 13:50:00~2020-08-27 14:50:00","60","30.00"
"2020-08-03 17:04:00+08","文山區","台北市文山區萬隆街73號","2020-08-03 17:04:00~2020-08-03 23:10:59","366","-"
"2020-08-03 16:56:00+08","文山區","台北市文山區萬隆街73號","2020-08-03 16:56:00~2020-08-03 23:10:59","374","-"
"2020-08-03 16:06:00+08","士林區","台北市士林區中山北路6段155號1樓","2020-08-03 16:06:00~2020-08-03 23:10:59","424","-"
"2020-08-03 15:01:00+08","松山區","台北市松山區民生東路4段80巷10號","2020-08-03 15:01:00~2020-08-03 23:10:59","489","-"
"2020-08-03 14:46:00+08","士林區","台北兒童新樂園","2020-08-03 14:46:00~2020-08-03 23:10:59","504","-"
"2020-08-03 14:44:00+08","文山區","興隆路三段","2020-08-03 14:44:00~2020-08-03 23:10:59","506","-"
"2020-08-03 14:43:00+08","松山區","民生東路4段80巷10-16號(約4間民宅)[2020/8/3 下午 02:56:18松山區應變中心]已通報相關單位派員前往處理[2020/8/3 下午 02:58:22工務局]區公所已派員[2020/8/3 下午 03:13:55消防局]2020 年8 月3 日15 時9 分17 秒	到達現場[2020/8/3 下午 03:26:02消防局]2020 年8 月3 日15 時15 分13 秒	安全無虞，離開現場","2020-08-03 14:43:00~2020-08-03 23:10:59","507","-"
"2020-08-03 14:16:00+08","文山區","台北市文山區羅斯福路6段118號","2020-08-03 14:16:00~2020-08-03 23:10:59","534","-"
"2020-08-03 14:06:00+08","信義區","延平北路四段155之2號 ，汙水處理廠對面","2020-08-03 14:06:00~2020-08-03 23:10:59","544","-"
"2020-08-03 14:04:00+08","中山區","北安路到明水路之間","2020-08-03 14:04:00~2020-08-03 23:10:59","546","-"
"2020-08-03 13:55:00+08","內湖區","台北市內湖區金龍路112巷152號","2020-08-03 13:55:00~2020-08-03 23:10:59","555","-"
"2020-08-03 13:52:00+08","中山區","台北市中山區民生東路2段147巷","2020-08-03 13:52:00~2020-08-03 23:10:59","558","-"
"2020-08-03 13:49:00+08","信義區","信義路六段76巷8弄","2020-08-03 13:49:00~2020-08-03 23:10:59","561","-"
"2020-08-03 13:47:00+08","文山區","臺北市文山區景仁里006鄰羅斯福路六段１１８號","2020-08-03 13:47:00~2020-08-03 23:10:59","563","-"
"2020-08-03 13:43:00+08","士林區","台北市士林區延平北路8段2巷153弄","2020-08-03 13:43:00~2020-08-03 23:10:59","567","-"
"2020-08-03 13:39:00+08","內湖區","臺北市內湖區金龍里023鄰金龍路１１２巷１２號","2020-08-03 13:39:00~2020-08-03 23:10:59","571","-"
"2020-08-03 13:39:00+08","松山區","台北市松山區民生東路5段36巷10弄16號","2020-08-03 13:39:00~2020-08-03 23:10:59","571","-"
"2020-08-03 13:37:00+08","北投區","臺北市北投區清江里027鄰崇仁路一段１３６巷１弄１５號1樓","2020-08-03 13:37:00~2020-08-03 23:10:59","573","-"
"2020-08-03 13:29:00+08","北投區","台北市北投區承德路7段393巷","2020-08-03 13:29:00~2020-08-03 23:10:59","581","-"
"2020-08-03 13:26:00+08","士林區","中正路201巷","2020-08-03 13:26:00~2020-08-03 23:10:59","584","-"
