查詢區間:110年01月01日~110年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市士林區","延平北路8段95巷-135號","2021-09-12 14:35:00 		                  			 ~  		                  				2021-09-12 15:30:00","55","-"
"臺北市大同區","承德路1段-市民大道1段","2021-09-12 10:32:00 		                  			 ~  		                  				2021-09-12 11:50:00","78","-"
"臺北市士林區","天母東路43巷4弄10號至21號","2021-07-31 16:02:00 		                  			 ~","null","-"
"臺北市北投區","北投區石牌路2段130巷2弄淹水，水深20公分。","2021-07-31 13:52:00 		                  			 ~  		                  				2021-07-31 15:50:00","118","-"
"臺北市士林區","士林區仰德大道64號-50號，路面積水，水深膝蓋","2021-07-31 13:52:00 		                  			 ~  		                  				2021-07-31 14:20:00","28","-"
"臺北市士林區","士東路228號至286巷","2021-07-31 13:44:00 		                  			 ~  		                  				2021-07-31 15:00:00","76","-"
"臺北市北投區","北投區大業路663號，積水深度30公分，面積20公尺","2021-07-31 13:32:00 		                  			 ~  		                  				2021-07-31 15:30:00","118","-"
"臺北市士林區","士林區福林路2號，積水10公分以上","2021-07-31 13:32:00 		                  			 ~  		                  				2021-07-31 14:10:00","38","-"
"臺北市士林區","士林區天母東路105巷口，水溝雨水已淹到人行道上，深度快達腳踝","2021-07-31 13:32:00 		                  			 ~  		                  				2021-07-31 14:00:00","28","-"
"臺北市士林區","天母東路43巷4弄9～11號防火巷內","2021-07-31 13:28:00 		                  			 ~  		                  				2021-07-31 15:20:00","112","-"
"臺北市士林區","臺北市士林區延平北路八段55號至110號","2021-07-29 14:44:00 		                  			 ~  		                  				2021-07-29 18:39:13","235","20.00"
"臺北市士林區","111台灣台北市士林區通河東街二段21號　通河東街二段21號至23號","2021-07-24 08:14:00 		                  			 ~  		                  				2021-07-24 10:00:00","106","-"
"臺北市北投區","公?路往洲美街方向","2021-07-24 07:07:00 		                  			 ~  		                  				2021-07-24 10:10:00","183","-"
"臺北市士林區","台北市士林區延平北路8段93巷與96巷、111巷","2021-07-24 06:42:00 		                  			 ~  		                  				2021-07-24 07:50:00","68","-"
"臺北市士林區","福林路與中山北路五段口","2021-07-24 06:19:00 		                  			 ~  		                  				2021-07-24 10:50:00","271","-"
