查詢區間:111年01月01日~111年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市南港區","臺北市南港區九如里021鄰研究院路二段１８２巷１０７弄３３號","2022-10-16 21:01:00 		                  			 ~  		                  				2022-10-16 22:10:00","69","10.00"
"臺北市南港區","研究院路2段胡適公園","2022-10-16 20:17:00 		                  			 ~  		                  				2022-10-16 22:50:00","153","-"
"臺北市南港區","研究院路2段胡適公園","2022-10-16 20:17:00 		                  			 ~  		                  				2022-10-16 22:20:00","123","-"
"臺北市內湖區","民權東路6段99號","2022-10-16 20:04:00 		                  			 ~  		                  				2022-10-16 20:40:00","36","-"
"臺北市大同區","蘭州街89巷12號","2022-10-16 20:03:00 		                  			 ~  		                  				2022-10-16 22:00:00","117","-"
"臺北市內湖區","康樂街131巷3號1樓","2022-10-16 20:02:00 		                  			 ~  		                  				2022-10-16 20:20:00","18","-"
"臺北市信義區","北安路458巷 明水路口","2022-10-16 19:57:00 		                  			 ~  		                  				2022-10-16 22:10:00","133","-"
"臺北市中山區","大佳河濱公園_大佳碼頭","2022-10-16 19:47:00 		                  			 ~  		                  				2022-10-16 20:40:00","53","-"
"臺北市內湖區","成功路2段426巷11號1樓","2022-10-16 19:38:00 		                  			 ~  		                  				2022-10-16 22:20:00","162","20.00"
"臺北市內湖區","江南街113之1號","2022-10-16 19:37:00 		                  			 ~  		                  				2022-10-16 20:30:00","53","-"
"臺北市南港區","重陽路235巷2號三樓","2022-10-16 19:20:00 		                  			 ~  		                  				2022-10-16 22:30:00","190","-"
"臺北市松山區","民生東路4段54號7樓","2022-10-16 19:13:00 		                  			 ~  		                  				2022-10-16 20:10:00","57","-"
"臺北市中山區","民權東路2段92巷1弄","2022-10-16 19:07:00 		                  			 ~  		                  				2022-10-16 20:10:00","63","-"
"臺北市中山區","錦州街231巷","2022-10-16 19:07:00 		                  			 ~  		                  				2022-10-16 20:10:00","63","-"
"臺北市中山區","新生北路3段56巷4號6號","2022-10-16 19:07:00 		                  			 ~  		                  				2022-10-16 19:30:00","23","-"
"臺北市士林區","延平北路7段至9段","2022-10-16 19:01:00 		                  			 ~  		                  				2022-10-16 20:10:00","69","-"
"臺北市南港區","成福路211巷","2022-10-16 19:01:00 		                  			 ~  		                  				2022-10-16 20:10:00","69","-"
"臺北市中正區","南海路56號","2022-10-16 18:58:00 		                  			 ~  		                  				2022-10-16 19:10:00","12","10.00"
"臺北市松山區","興安街174巷3弄17號","2022-10-16 18:57:00 		                  			 ~  		                  				2022-10-16 20:40:00","103","-"
"臺北市松山區","松山區民生東路4段75號","2022-10-16 18:57:00 		                  			 ~  		                  				2022-10-16 20:40:00","103","-"
"臺北市內湖區","內湖區環山路1段136巷20弄7號","2022-10-16 18:57:00 		                  			 ~  		                  				2022-10-16 20:30:00","93","-"
"臺北市信義區","松隆路１號","2022-10-16 18:54:00 		                  			 ~","null","-"
"臺北市大同區","承德路2段萬全街","2022-10-16 18:49:00 		                  			 ~  		                  				2022-10-16 21:40:00","171","-"
"臺北市信義區","吳興街600巷76弄91號","2022-10-16 18:45:00 		                  			 ~","null","-"
"臺北市中山區","林森北路138巷25號;林森北路138巷26號b1","2022-10-16 18:39:00 		                  			 ~  		                  				2022-10-16 22:40:00","241","-"
"臺北市南港區","忠孝東路6段462巷","2022-10-16 18:36:00 		                  			 ~  		                  				2022-10-17 00:10:00","334","15.00"
"臺北市南港區","忠孝東路6段462巷","2022-10-16 18:36:00 		                  			 ~  		                  				2022-10-16 22:00:00","204","-"
"臺北市士林區","臺北市通河街325","2022-10-16 18:36:00 		                  			 ~  		                  				2022-10-16 20:30:00","114","-"
"臺北市信義區","臺北市士林區中山北路七段１４１巷１號","2022-10-16 18:33:00 		                  			 ~  		                  				2022-10-17 14:50:00","1217","-"
"臺北市中山區","中山北路二段-錦州街","2022-10-16 18:33:00 		                  			 ~  		                  				2022-10-16 19:10:00","37","-"
"臺北市士林區","通河東街一段7號","2022-10-16 18:32:00 		                  			 ~","null","-"
"臺北市信義區","吳興街284巷20弄","2022-10-16 18:30:00 		                  			 ~  		                  				2022-10-16 19:40:00","70","10.00"
"臺北市大同區","重慶北路四段","2022-10-16 18:29:00 		                  			 ~  		                  				2022-10-16 19:30:00","61","20.00"
"臺北市松山區","北寧路４０號1樓","2022-10-16 18:29:00 		                  			 ~  		                  				2022-10-16 18:40:00","11","-"
"臺北市士林區","延平北路8段2巷56弄","2022-10-16 18:26:00 		                  			 ~  		                  				2022-10-16 21:40:00","194","20.00"
"臺北市大同區","重慶北路三段-民族西路","2022-10-16 18:26:00 		                  			 ~  		                  				2022-10-16 21:00:00","154","-"
"臺北市大同區","環河北路2段383號1樓","2022-10-16 18:23:00 		                  			 ~  		                  				2022-10-16 21:40:00","197","10.00"
