查詢區間:112年01月01日~112年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市信義區","崇德街328號","2023-10-05 07:25:00 		                  			 ~  		                  				2023-10-06 22:49:56","2364","-"
"臺北市中山區","臺北市中山區濱江街211號","2023-08-22 16:53:00 		                  			 ~  		                  				2023-08-22 18:20:00","87","-"
"臺北市大同區","臺北市大同區延平北路1段143號","2023-08-22 16:43:00 		                  			 ~  		                  				2023-08-22 16:50:00","7","-"
"臺北市士林區","美德街積水10公分","2023-08-20 17:20:00 		                  			 ~  		                  				2023-08-21 23:19:54","1799","-"
"臺北市士林區","台北市士林區中正路交美德街","2023-08-20 15:30:00 		                  			 ~  		                  				2023-08-20 16:00:00","30","10.00"
"臺北市士林區","台北市士林區至善路二段268號","2023-08-20 15:30:00 		                  			 ~  		                  				2023-08-20 16:00:00","30","10.00"
"臺北市士林區","台北市士林區中山北路五段交福林路","2023-08-20 15:30:00 		                  			 ~  		                  				2023-08-20 16:00:00","30","20.00"
"臺北市中正區","台北市中正區忠孝東路2段101號(捷運忠孝新生站1號出口前）","2023-08-20 15:30:00 		                  			 ~  		                  				2023-08-20 16:00:00","30","10.00"
"臺北市士林區","路面積水10公分","2023-08-20 15:25:00 		                  			 ~  		                  				2023-08-21 23:19:54","1914","-"
"臺北市北投區","中央北路2段257巷","2023-08-10 17:19:00 		                  			 ~  		                  				2023-08-10 22:40:00","321","-"
"臺北市中正區","重慶南路1段165號(北一女旁人口蓋倒灌)","2023-08-10 17:11:00 		                  			 ~  		                  				2023-08-10 22:40:00","329","-"
"臺北市中正區","臺北市中正區建國里貴陽街一段5號(弘道國中及國家圖書館旁)","2023-08-10 17:11:00 		                  			 ~  		                  				2023-08-10 22:40:00","329","-"
"臺北市中正區","開封街1段27號","2023-08-10 17:06:00 		                  			 ~  		                  				2023-08-10 22:40:00","334","-"
"臺北市中山區","大佳國小","2023-08-10 17:02:00 		                  			 ~  		                  				2023-08-10 22:40:00","338","-"
"臺北市大同區","酒泉街268號","2023-08-10 16:57:00 		                  			 ~  		                  				2023-08-10 22:40:00","343","-"
"臺北市中正區","公園路21號(弘道國中大門前)","2023-08-10 16:52:00 		                  			 ~  		                  				2023-08-10 22:40:00","348","-"
"臺北市大同區","重慶北路1段和天水路的交叉路口","2023-08-10 16:49:00 		                  			 ~  		                  				2023-08-10 22:40:00","351","-"
"臺北市大同區","民族西路244號2樓","2023-08-10 16:48:00 		                  			 ~  		                  				2023-08-10 22:40:00","352","-"
"臺北市大同區","酒泉街199號","2023-08-10 16:48:00 		                  			 ~  		                  				2023-08-10 22:40:00","352","-"
"臺北市大同區","伊寧街49號","2023-08-10 16:48:00 		                  			 ~  		                  				2023-08-10 22:40:00","352","-"
"臺北市大同區","迪化街1段","2023-08-10 16:48:00 		                  			 ~  		                  				2023-08-10 22:40:00","352","-"
"臺北市大同區","民族西路225巷1號","2023-08-10 16:48:00 		                  			 ~  		                  				2023-08-10 22:40:00","352","-"
"臺北市大同區","南京西路321號","2023-08-10 16:48:00 		                  			 ~  		                  				2023-08-10 22:40:00","352","-"
"臺北市士林區","承德路4段305號","2023-08-10 16:46:00 		                  			 ~  		                  				2023-08-10 22:40:00","354","-"
"臺北市中正區","襄陽路6號","2023-08-10 16:45:00 		                  			 ~  		                  				2023-08-10 22:40:00","355","-"
"臺北市中正區","二二八和平紀念公園","2023-08-10 16:45:00 		                  			 ~  		                  				2023-08-10 22:40:00","355","-"
