查詢區間:113年01月01日~113年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市北投區","石牌路2段362號","2024-10-31 18:06:00 		                  			 ~  		                  				2024-11-01 23:49:10","1783","-"
"臺北市內湖區","民權東路6段-成功路2段民權東路6段101號","2024-10-31 17:25:00 		                  			 ~  		                  				2024-10-31 18:50:00","85","-"
"臺北市南港區","南港路1段75號","2024-10-31 12:57:00 		                  			 ~  		                  				2024-11-01 23:49:10","2092","-"
"臺北市北投區","承德路7段401巷171號　洲美橋下籃球場","2024-10-31 12:56:00 		                  			 ~  		                  				2024-10-31 16:40:00","224","-"
"臺北市文山區","萬芳路26巷、26巷5號","2024-10-31 12:36:00 		                  			 ~  		                  				2024-11-01 23:49:10","2113","-"
"臺北市士林區","中山北路6段172巷16弄8號","2024-10-31 11:43:00 		                  			 ~  		                  				2024-10-31 17:00:00","317","-"
"臺北市士林區","中山北路7段14巷65弄2號","2024-10-31 11:02:00 		                  			 ~  		                  				2024-11-01 23:49:10","2207","-"
"臺北市文山區","116台灣台北市文山區木柵路二段55-1號　文山區木柵路二段，道路淹水，請處理，謝謝","2024-10-31 06:31:00 		                  			 ~  		                  				2024-10-31 07:40:00","69","-"
"臺北市南港區","研究院路3段251號慈鳳宮淹水","2024-10-31 06:24:00 		                  			 ~  		                  				2024-10-31 16:40:00","616","-"
"臺北市信義區","信義路6段76巷8弄信義路6段76巷8弄","2024-10-31 03:13:00 		                  			 ~  		                  				2024-10-31 07:30:00","257","10.00"
"新北市金山區","竹子湖路及陽金公路道路積水","2024-10-25 07:51:00 		                  			 ~  		                  				2024-10-25 08:30:00","39","-"
"臺北市士林區","文林路488號","2024-10-03 10:33:00 		                  			 ~  		                  				2024-10-04 22:59:55","2186","-"
"臺北市文山區","萬芳社群捷運站前","2024-07-24 11:01:00 		                  			 ~  		                  				2024-07-24 16:00:00","299","10.00"
"臺北市信義區","吳興街247號","2024-07-10 16:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","null","10.00"
"臺北市南港區","臺北市南港區鴻福里014鄰中坡南路３１巷６號","2024-07-10 15:57:00 		                  			 ~  		                  				2024-07-10 18:10:00","133","-"
"臺北市信義區","吳興街２８４巷３９弄１７號","2024-07-10 15:50:00 		                  			 ~  		                  				2024-07-10 21:50:31","360","-"
"臺北市大安區","辛亥路三段157巷12弄30號，臥龍公園","2024-07-10 15:25:00 		                  			 ~  		                  				2024-07-10 21:50:31","385","-"
"臺北市信義區","信義路五段150巷411弄11號","2024-07-10 15:21:00 		                  			 ~  		                  				2024-07-10 21:50:31","389","-"
"臺北市南港區","福德街310巷","2024-07-10 15:20:00 		                  			 ~  		                  				2024-07-10 16:10:00","50","10.00"
"","林口街84號","2024-07-10 15:20:00 		                  			 ~  		                  				2024-07-10 16:00:00","40","10.00"
"臺北市信義區","松山路650巷15弄18-11號","2024-07-10 15:11:00 		                  			 ~  		                  				2024-07-10 21:50:31","399","-"
"臺北市信義區","信義路六段33巷信義路六段15巷24號1樓","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 21:50:31","410","-"
"臺北市信義區","福德街251巷7弄38號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 18:00:00","180","-"
"臺北市南港區","市民大道八段","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:10:00","70","10.00"
"臺北市信義區","松德路169巷3號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:10:00","70","10.00"
"臺北市南港區","昆陽街60巷3號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","松仁路217號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","基隆路一段101巷","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","松仁路234巷","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","忠孝東路五段151號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","吳興街583巷6弄","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","富陽街72巷19號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","和平東路三段627巷31號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","吳興街600巷100弄 和 557號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","-"
"臺北市信義區","富陽街72巷30號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市南港區","永吉路-忠孝東路五段","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市南港區","忠孝東路七段-向陽路","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市南港區","永吉路 & 忠孝東路五段","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","吳興街600巷100弄 和 557號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","-"
"臺北市信義區","林口街24巷19號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","松仁路226號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","信義路六段 & 信義路五段","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市中山區","松江路297巷2號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","10.00"
"臺北市信義區","信義路五段150巷4-16號;地下道淹水信義路五段信義路五段150巷4-16號 信義路五段-信義路六段","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 16:00:00","60","-"
"臺北市信義區","松仁路(吳興國小前)","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:50:00","50","20.00"
"臺北市信義區","松仁路(鄰近松仁路275巷口)","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:50:00","50","20.00"
"臺北市信義區","吳興街583巷","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:00:00","null","10.00"
"臺北市信義區","忠孝東路五段151號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:00:00","null","10.00"
"臺北市南港區","研究院路三段242號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:00:00","null","10.00"
"臺北市大安區","大安森林公園[新生南路以東]","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:00:00","null","10.00"
"臺北市信義區","吳興街284巷20弄29號","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:00:00","null","10.00"
"臺北市信義區","吳興街494巷","2024-07-10 15:00:00 		                  			 ~  		                  				2024-07-10 15:00:00","null","10.00"
"臺北市信義區","松德路188號","2024-07-10 14:56:00 		                  			 ~  		                  				2024-07-10 21:50:31","414","-"
"臺北市文山區","辛亥路四段","2024-07-10 14:55:00 		                  			 ~  		                  				2024-07-10 21:50:31","415","-"
"臺北市松山區","南京東路五段291巷22號","2024-07-10 14:51:00 		                  			 ~  		                  				2024-07-10 21:50:31","419","-"
"臺北市信義區","林口街38巷10~17號","2024-07-10 14:50:00 		                  			 ~  		                  				2024-07-10 21:50:31","420","-"
"臺北市信義區","富陽街161號","2024-07-10 14:50:00 		                  			 ~  		                  				2024-07-10 21:50:31","420","-"
"臺北市信義區","和平東路三段391巷57弄4號","2024-07-10 14:50:00 		                  			 ~  		                  				2024-07-10 21:50:31","420","-"
"臺北市信義區","台北市信義區吳興街474號","2024-07-10 14:50:00 		                  			 ~  		                  				2024-07-10 15:50:00","60","10.00"
"臺北市松山區","南京東路五段291巷17-2號前","2024-07-10 14:50:00 		                  			 ~  		                  				2024-07-10 15:10:00","20","-"
"臺北市信義區","虎林街232巷57號虎林街232巷57號 和虎林街242巷55,59,66,73,71,77號","2024-07-10 14:42:00 		                  			 ~  		                  				2024-07-10 21:50:31","428","-"
"臺北市南港區","中南街42巷與市民大道八段路一帶","2024-07-10 14:40:00 		                  			 ~  		                  				2024-07-10 15:10:00","30","20.00"
"臺北市信義區","和平東路三段306號前","2024-07-10 14:40:00 		                  			 ~  		                  				2024-07-10 15:10:00","30","-"
"臺北市信義區","松仁路-忠孝東路五段","2024-07-10 14:39:00 		                  			 ~  		                  				2024-07-10 21:50:31","431","-"
"臺北市南港區","成福路171巷40弄","2024-07-10 14:39:00 		                  			 ~  		                  				2024-07-10 16:10:00","91","-"
"臺北市內湖區","民權東路六段190巷117弄39號路口，高公局斜坡旁的小涵洞","2024-07-10 14:38:00 		                  			 ~  		                  				2024-07-10 21:50:31","432","-"
"臺北市南港區","市民大道八段516號-中南街42巷","2024-07-10 14:38:00 		                  			 ~  		                  				2024-07-10 15:10:00","32","-"
"臺北市信義區","和平東路三段-富陽街","2024-07-10 14:35:00 		                  			 ~  		                  				2024-07-10 21:50:31","435","-"
"臺北市大安區","文昌街257號","2024-07-10 14:34:00 		                  			 ~  		                  				2024-07-10 21:50:31","436","-"
"臺北市內湖區","安泰街45巷14弄37號","2024-07-10 14:31:00 		                  			 ~  		                  				2024-07-10 21:50:31","439","-"
