查詢區間:114年01月01日~114年05月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"桃園市龜山區","文化二路138號","2025-05-29 13:55:00 		                  			 ~  		                  				2025-05-29 15:05:00","70","21.00"
"臺中市新社區","中96線華豐五街72號前岔路口","2025-05-24 12:13:00 		                  			 ~  		                  				2025-05-24 13:00:00","47","-"
"臺中市沙鹿區","向上路七段與自強路交叉口","2025-05-24 12:09:00 		                  			 ~  		                  				2025-05-24 12:34:00","25","12.00"
"新竹市北區","新竹","2025-05-24 12:00:00 		                  			 ~  		                  				2025-05-24 13:24:00","84","5.00"
"桃園市龜山區","文化二路138號","2025-05-24 11:55:00 		                  			 ~  		                  				2025-05-24 12:24:18","29","20.00"
"臺中市豐原區","豐勢路二段210號","2025-05-24 11:54:00 		                  			 ~  		                  				2025-05-24 13:15:00","81","-"
"臺中市大甲區","雁門路與錦上街口","2025-05-24 11:54:00 		                  			 ~  		                  				2025-05-24 12:24:00","30","14.00"
"新竹市東區","南大路及竹蓮街交叉口","2025-05-24 11:50:00 		                  			 ~","null","-"
"新竹市東區","太原地下道","2025-05-24 10:47:00 		                  			 ~  		                  				2025-05-24 11:44:18","57","29.00"
"臺中市清水區","坑口宮海風產業道路","2025-05-24 10:45:00 		                  			 ~  		                  				2025-05-24 11:24:17","39","12.00"
"新竹市東區","關新東路與關東路口","2025-05-24 10:45:00 		                  			 ~  		                  				2025-05-24 11:04:17","19","11.00"
"新竹市東區","東大機車地下道","2025-05-24 10:40:00 		                  			 ~  		                  				2025-05-24 10:54:18","14","18.00"
"雲林縣北港鎮","中正路文化路交叉路口","2025-05-22 15:42:01 		                  			 ~  		                  				2025-05-22 15:57:11","15","31.00"
"基隆市七堵區","堵南1-1?車行地下道","2025-05-18 15:11:00 		                  			 ~  		                  				2025-05-18 15:40:00","29","15.00"
"高雄市彌陀區","舊港路西一巷22號前，電線桿","2025-05-15 13:50:00 		                  			 ~  		                  				2025-05-15 14:35:27","45","11.00"
"屏東縣東港鎮","嘉新路與大成路交叉口","2025-05-11 11:32:00 		                  			 ~  		                  				2025-05-11 15:49:52","257","21.00"
"屏東縣屏東市","鐵路橋涵洞","2025-05-11 08:12:00 		                  			 ~  		                  				2025-05-11 08:25:11","13","27.00"
"臺南市安南區","公學路四段(十二佃)","2025-05-11 04:25:00 		                  			 ~  		                  				2025-05-11 15:49:52","684","12.00"
"臺南市安南區","公學路四段(十二佃)","2025-05-10 15:15:00 		                  			 ~  		                  				2025-05-10 15:55:09","40","10.00"
"臺中市沙鹿區","沙田路與福至路150巷","2025-05-10 13:45:04 		                  			 ~  		                  				2025-05-10 14:25:09","40","16.00"
"臺中市大里區","甲堤二街、甲興路附近","2025-05-10 13:00:00 		                  			 ~  		                  				2025-05-10 13:30:00","30","20.00"
"屏東縣佳冬鄉","南寮路50巷8-12","2025-05-10 12:52:00 		                  			 ~  		                  				2025-05-10 19:49:59","417","22.00"
"彰化縣大城鄉","中央路66號","2025-05-10 11:23:04 		                  			 ~  		                  				2025-05-10 19:49:59","506","10.00"
"彰化縣大城鄉","中央路10號","2025-05-10 11:16:03 		                  			 ~  		                  				2025-05-10 19:49:59","513","13.00"
"臺中市新社區","中96線華豐五街72號前岔路口","2025-05-10 11:12:04 		                  			 ~  		                  				2025-05-10 11:45:09","33","13.00"
"屏東縣佳冬鄉","羌園村羌光橋","2025-05-10 11:12:00 		                  			 ~  		                  				2025-05-10 19:49:59","517","21.00"
